MLA-C01 • DOMAIN 4,THUẬT NGỮ CHI TIẾT,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,,,,,
145 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 4.1 + 4.2 + 4.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,3 module • Có phần mở rộng GenAI,,,,,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: O • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Production inference monitoring,business KPI • model quality • hosting health,Giám sát suy luận trong môi trường thực tế,"Production inference monitoring continuously measures the business outcomes, predictive quality, and operational health of a deployed ML or AI application. It compares observations with expected behavior and connects deviations to an accountable response, so silent degradation can be detected even when requests still succeed.","Giám sát suy luận production liên tục đo kết quả kinh doanh, chất lượng dự đoán và tình trạng vận hành của ứng dụng ML hoặc AI đã triển khai. Quá trình so sánh quan sát với hành vi kỳ vọng và gắn sai lệch với người chịu trách nhiệm xử lý, nhờ đó phát hiện suy giảm âm thầm dù request vẫn thành công.","Ba góc nhìn bổ sung nhau: KPI có đạt mục tiêu; prediction/response có đúng và hữu ích; compute/network/storage có đáp ứng tải. Mỗi tín hiệu cần baseline, cadence, threshold và playbook.",Recommendation vẫn trả HTTP 200 nhưng conversion và mức hài lòng giảm.,"Thiết kế monitoring trước khi đưa model vào production, rồi điều chỉnh khi dữ liệu và mục tiêu thay đổi.",CPU thấp hoặc endpoint InService không chứng minh model tốt; không có một metric duy nhất bao phủ cả ba lớp.,CloudWatch; SageMaker AI; Amazon Bedrock,Domain 4,4.1,Nền tảng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Business KPI and success criteria,business objective • CTR • conversion • retention,Chỉ số thành công gắn với mục tiêu nghiệp vụ,"A key performance indicator is a measurable signal tied to a business objective, used to judge whether an ML application delivers the intended outcome. Monitoring KPIs alongside technical metrics reveals whether model changes improve user value, revenue, or operational effectiveness in the actual application.","KPI là tín hiệu đo lường được gắn với mục tiêu kinh doanh, dùng để đánh giá ứng dụng ML có tạo ra kết quả mong muốn hay không. Theo dõi KPI cùng metric kỹ thuật giúp xác định thay đổi model có cải thiện giá trị cho người dùng, doanh thu hoặc hiệu quả vận hành thực tế.","Xác định mục tiêu, đơn vị, mẫu số, khoảng thời gian và phân khúc. Review KPI khi sản phẩm/chính sách thay đổi; phân biệt tín hiệu tương quan với tác động đã kiểm chứng bằng thí nghiệm.",CTR = clicks/impressions; conversion rate = conversions/eligible visits. Các mẫu số phải nhất quán giữa hai variant.,Chọn tiêu chí A/B test và ưu tiên mức độ nghiêm trọng của sự cố.,"Accuracy tăng không bảo đảm revenue tăng; KPI giảm còn có thể do giao diện, traffic mix hoặc thị trường.",CloudWatch custom metrics; production variants,Domain 4,4.1,Nền tảng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
ML Lens — continuous feedback loop,measure • alert • improve • demand-based scaling,Vòng phản hồi cải tiến liên tục theo ML Lens,"A monitoring feedback loop translates observed model and system behavior into controlled improvements. The Machine Learning Lens connects continuous measurement and alerts with retraining or operational changes, while resource tagging, utilization-based sizing, and demand-driven scaling keep the workload aligned with performance and cost goals.","Vòng phản hồi monitoring chuyển hành vi quan sát được của model và hệ thống thành cải tiến có kiểm soát. ML Lens liên kết đo lường liên tục và cảnh báo với retraining hoặc thay đổi vận hành; tagging, sizing theo utilization và scaling theo nhu cầu giúp cân bằng mục tiêu hiệu năng và chi phí.","Trong module này trọng tâm là monitor → alarm → investigation/action → verify. Tagging, rightsizing và cost được nhắc để liên hệ Task 4.2, không thay thế quy trình kiểm định chất lượng.",CloudWatch báo drift → EventBridge khởi động workflow có kiểm tra dữ liệu và đánh giá candidate.,Thiết kế hệ thống tự cải tiến có truy vết và giới hạn rủi ro.,Tự động hóa trigger không có nghĩa mọi candidate đều được triển khai; cần đánh giá và approval theo chính sách.,CloudWatch; EventBridge; SageMaker Pipelines,Domain 4,4.1,Nền tảng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Drift — signal versus performance degradation,baseline change • silent failure • risk tolerance,Sự thay đổi theo thời gian và nguy cơ suy giảm,"Drift describes changes in production data, predictive performance, fairness, or feature influence relative to an established reference. Such changes can make a previously effective model less reliable, but a distribution or attribution shift alone is a warning signal rather than proof that prediction accuracy has already decreased.","Drift mô tả thay đổi của dữ liệu production, hiệu quả dự đoán, tính công bằng hoặc mức ảnh hưởng của feature so với mốc tham chiếu. Những thay đổi có thể khiến model từng hoạt động tốt trở nên kém tin cậy, nhưng thay đổi phân phối hay attribution chỉ là tín hiệu cảnh báo, chưa chứng minh accuracy đã giảm.","Bài học dùng drift theo nghĩa suy giảm khả năng dự đoán và chia bốn nhóm monitoring. Khi phân tích kỹ thuật, phải nêu rõ quan sát thuộc nhóm nào và có ground truth hay chưa.",Phân phối tuổi khách hàng đổi nhưng accuracy hiện tại vẫn ổn; vẫn cần kiểm tra segment và theo dõi.,Phát hiện sớm silent failure và đặt mức chịu đựng theo hậu quả nghiệp vụ.,Không dùng cùng threshold cho phim gợi ý và chẩn đoán y tế; không gọi mọi anomaly là concept drift.,CloudWatch; Model Monitor; Clarify,Domain 4,4.1,Các loại drift,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Data quality drift,input distribution • schema • missing values,Trôi chất lượng hoặc phân phối dữ liệu đầu vào,"Data quality drift occurs when production inputs differ from the reference data in their statistical distribution or expected quality properties. Monitoring checks schemas, data types, missingness, ranges, and feature statistics so upstream errors and population changes can be detected before their effect on model quality is fully observed.","Data quality drift xảy ra khi input production khác dữ liệu tham chiếu về phân phối thống kê hoặc thuộc tính chất lượng kỳ vọng. Monitoring kiểm tra schema, kiểu dữ liệu, mức thiếu, khoảng giá trị và thống kê feature để phát hiện lỗi upstream hoặc thay đổi quần thể trước khi quan sát đầy đủ tác động lên model.",Validate dữ liệu → tính mean/std/missing/outlier/distribution → so baseline → kiểm định drift. Có thể làm khi chưa có nhãn; cần phân biệt dữ liệu hỏng với thay đổi hợp lệ.,Form upstream bỏ trường tuổi; hoặc sản phẩm mới tạo từ vựng chưa xuất hiện trong training.,Cảnh báo sớm trước suy giảm accuracy; kiểm soát contract tại từng pipeline stage.,Phân phối đổi không tự chứng minh bias hay concept drift. Đừng retrain trên dữ liệu hỏng trước khi sửa nguồn.,Model Monitor; CloudWatch; S3,Domain 4,4.1,Các loại drift,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Model quality drift,prediction versus ground truth • accuracy degradation,Suy giảm chất lượng dự đoán,"Model quality drift is a change in how well a deployed model's predictions match observed ground truth. It is detected by joining production predictions with true outcomes and tracking task-appropriate evaluation metrics against a validated reference, including performance within important subpopulations.","Model quality drift là thay đổi mức độ dự đoán của model triển khai khớp với kết quả thực tế. Phát hiện bằng cách ghép prediction production với nhãn thật, rồi theo dõi metric phù hợp bài toán so với mốc đã kiểm định, bao gồm hiệu quả ở các nhóm dữ liệu quan trọng.","Classification: accuracy, precision, recall, F1, AUC-ROC; regression: metric sai số phù hợp. Cần model version, inference ID, thời gian, label coverage để so sánh đúng.",Model routing ticket accuracy từ 94% xuống 84% sau khi nhận đủ nhãn xử lý.,Đánh giá model có còn đáp ứng chất lượng yêu cầu và có cần retrain hay rollback.,Không suy ra accuracy từ confidence hoặc CPU; label thiếu/trễ có thể làm metric thiên lệch.,Model Monitor; CloudWatch custom metrics; S3,Domain 4,4.1,Các loại drift,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Bias drift,group disparity • fairness baseline • protected facets,Thay đổi mức độ thiên lệch giữa các nhóm,"Bias drift is a change over time in disparities affecting a model's outcomes or errors across relevant groups. It can arise when production populations or decision patterns change, and is assessed through selected fairness metrics compared with a baseline or acceptable policy thresholds rather than through aggregate accuracy alone.","Bias drift là thay đổi theo thời gian của chênh lệch kết quả hoặc sai số model giữa các nhóm liên quan. Nó có thể xuất hiện khi quần thể production hoặc hành vi quyết định thay đổi, và được đánh giá bằng fairness metric đã chọn so với baseline hoặc ngưỡng chính sách, thay vì chỉ nhìn accuracy tổng.","Chọn nhóm/facet, metric phù hợp, baseline, cỡ mẫu mỗi nhóm; phân tích nguyên nhân rồi giảm bias. Nhóm mới chưa được đại diện là tín hiệu cần điều tra coverage và fairness.",Walkthrough: độ chính xác routing enterprise 95% nhưng free tier 80%; theo dõi khác biệt và điều tra tác động.,Phát hiện chất lượng phân bổ không đều trong use case nhạy cảm và review định kỳ.,Nhóm C mới xuất hiện chứng minh population shift/rủi ro bias; cần metric theo nhóm để kết luận disparity tăng. Không coi cân bằng số lượng là bảo đảm công bằng.,SageMaker Clarify; CloudWatch,Domain 4,4.1,Các loại drift,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Feature attribution drift,feature contribution • SHAP • ranking change,Trôi mức đóng góp của đặc trưng,Feature attribution drift occurs when the contributions of input features to predictions change relative to a reference explanation baseline. Monitoring the magnitude or ranking of those contributions can reveal changed model behavior before aggregate accuracy declines and can motivate investigation of input shifts or changing input-target relationships.,Feature attribution drift xảy ra khi mức đóng góp của các feature đầu vào vào prediction thay đổi so với baseline giải thích. Theo dõi độ lớn hoặc thứ hạng đóng góp có thể phát hiện hành vi model thay đổi trước khi accuracy tổng giảm và thúc đẩy điều tra input shift hoặc quan hệ input–target thay đổi.,Tính SHAP trên mẫu đại diện → tổng hợp cùng cách với baseline → so giá trị/thứ hạng → điều tra feature đổi nhiều. Giữ explainer configuration và reference data có version.,Ticket length vượt keyword presence để thành feature ảnh hưởng mạnh nhất.,Early warning và giải thích vì sao hành vi model khác giai đoạn development.,Attribution đổi không chứng minh weights đã đổi hoặc concept drift chắc chắn; input distribution cũng có thể làm attribution đổi.,SageMaker Clarify; CloudWatch,Domain 4,4.1,Các loại drift,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Concept drift,P(y|x) change • input-target relationship,Trôi quan hệ giữa đầu vào và mục tiêu,"Concept drift is a change in the relationship between input features and the outcome being predicted. A model may therefore become inaccurate even if familiar inputs continue to arrive, because the mapping learned from historical examples no longer describes the current environment.","Concept drift là thay đổi quan hệ giữa feature đầu vào và kết quả cần dự đoán. Vì thế model có thể kém chính xác dù input vẫn trông quen thuộc, bởi ánh xạ học từ ví dụ lịch sử không còn mô tả môi trường hiện tại.","Phân biệt P(x) đổi với P(y|x) đổi. Kết hợp labeled evaluation, domain knowledge và attribution analysis; cập nhật dữ liệu hoặc modeling approach khi nguyên nhân được xác nhận.",Cùng lịch sử mua hàng nhưng hành vi churn thay đổi sau chính sách giá mới.,Chẩn đoán suy giảm dù schema và range dữ liệu vẫn đúng.,"Không phải loại monitor thứ năm trong danh sách bốn loại của module; attribution drift là dấu hiệu gợi ý, không là phép chứng minh.",Clarify; CloudWatch; retraining workflow,Domain 4,4.1,Các loại drift,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Monitoring baseline and constraints,reference statistics • expected bounds • versioned baseline,Mốc tham chiếu và các ràng buộc,"A monitoring baseline records the expected statistical or quality behavior of a validated model and its reference data. Constraints translate those expectations into checks or thresholds used on later observations, allowing scheduled monitoring to distinguish acceptable variation from deviations that require investigation.","Monitoring baseline ghi lại hành vi thống kê hoặc chất lượng kỳ vọng của model đã kiểm định và dữ liệu tham chiếu. Constraints chuyển kỳ vọng thành quy tắc hoặc ngưỡng kiểm tra dữ liệu về sau, giúp monitoring phân biệt biến động chấp nhận được với sai lệch cần điều tra.",Data baseline lấy thống kê training/reference data; model-quality baseline cần prediction và nhãn của evaluation data; bias/SHAP có baseline riêng. Gắn baseline với model/data version.,Giới hạn missing age ≤1%; chất lượng recall không dưới mục tiêu đã phê duyệt.,Tạo chuẩn để so sánh lặp lại trên các cửa sổ production.,Không tự nâng ngưỡng để che lỗi. Baseline quá cũ hoặc không đại diện tạo false alarm; đổi baseline phải có lý do.,S3; Model Monitor; Clarify; CloudWatch,Domain 4,4.1,Vòng monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
