MLA-C01 • DOMAIN 3,THUẬT NGỮ & KEYWORD,"Manage Deployment Infrastructure
Provision and Configure Resources
Automated Orchestration and CI/CD",,,,,,,,,,,,,
147 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 3.1 • 3.2 • 3.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,Phạm vi: 3 module Domain 3,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Ghi chú đối chiếu AWS nằm trong nội dung.,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Model deployment,operationalize • serving environment,Triển khai mô hình,Deployment makes a trained model usable by applications through a configured serving environment.,"Đưa mô hình đã huấn luyện và kiểm định vào môi trường phục vụ ứng dụng, kèm tài nguyên và cấu hình vận hành.","Ngoài trọng số, cần mã suy luận, thư viện, compute, cơ chế nhận/trả dữ liệu, quyền truy cập, giám sát và cách cập nhật phiên bản. Mục tiêu là đáp ứng yêu cầu nghiệp vụ về độ trễ, tải, chi phí và độ tin cậy.",Mô hình gợi ý sản phẩm được đóng gói và phục vụ qua endpoint để website lấy gợi ý lúc người dùng xem hàng.,Khi chuyển từ thử nghiệm mô hình sang sử dụng thực tế; bắt đầu bằng yêu cầu của ứng dụng.,Lưu model.tar.gz lên S3 hoặc đăng ký model chưa có nghĩa là đã có endpoint hoạt động.,SageMaker AI; Amazon Bedrock; EKS; ECS; Lambda,Domain 3,3.1,Nền tảng triển khai,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
Model framework vs inference infrastructure,build the model • serve predictions,Hai lớp của hệ thống triển khai,The model framework produces and validates model artifacts; inference infrastructure executes them for consumers.,Lớp xây dựng tạo mô hình; lớp hạ tầng suy luận chạy mô hình để phục vụ dữ liệu mới.,"Lớp đầu bao gồm xử lý dữ liệu, feature engineering, train, evaluate và optimize. Lớp sau giải quyết hosting, routing, capacity, latency, throughput, scaling và môi trường cloud/on-premises/edge.",Một pipeline train tạo artifact trên S3; endpoint GPU đọc artifact và đáp ứng request là lớp suy luận.,Tách trách nhiệm và chọn công cụ phù hợp ở từng giai đoạn.,Một training job không tự trở thành dịch vụ suy luận; có thể dùng cùng framework nhưng tài nguyên và vòng đời khác nhau.,SageMaker Training; SageMaker Hosting,Domain 3,3.1,Nền tảng triển khai,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
Deployment framework — eight components,version • CI/CD • build • deploy • monitor • secure • registry • test,Tám thành phần của khung triển khai,A deployment framework combines repeatable engineering controls around model delivery.,Khung triển khai tổ chức các thành phần giúp đưa mô hình ra môi trường sử dụng một cách lặp lại và có kiểm soát.,"1) Version control. 2) CI/CD. 3) Model building. 4) Deployment. 5) Monitoring. 6) Workflow security. 7) Model registry. 8) Testing. Các thành phần liên kết bằng artifact, metadata và điều kiện chất lượng; không phải tám API bắt buộc chạy nối tiếp.",Git lưu mã → CodeBuild kiểm tra/đóng gói → pipeline train và đánh giá → Registry → deploy → CloudWatch theo dõi; IAM xuyên suốt.,"Thiết kế MLOps có khả năng tái hiện, truy vết và tự động hóa.","Chỉ có CI/CD cho mã ứng dụng chưa đủ: còn dữ liệu, phiên bản model, kiểm định và vận hành sau triển khai.",Git; CodePipeline; CodeBuild; SageMaker; IAM; CloudWatch,Domain 3,3.3,Khung MLOps,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
Model artifact vs image vs registry,weights in S3 • runtime in ECR • metadata in registry,Phân biệt ba loại tài sản triển khai,"A model artifact contains learned assets, a container image supplies the runtime, and a registry tracks model versions and their references.",Artifact chứa trọng số/tài sản đã học; image chứa môi trường chạy; registry quản lý phiên bản và tham chiếu.,"Trong luồng SageMaker thông dụng, S3 chứa artifact, ECR chứa image Docker, Model Registry lưu model package cùng vị trí artifact/image và metadata đánh giá, phê duyệt. Endpoint kết hợp các thành phần để phục vụ.",Đổi trọng số có thể tạo model version mới mà tái sử dụng image; đổi dependency có thể cần image mới dù trọng số giữ nguyên.,"Câu hỏi chọn nơi lưu trữ, đăng ký và triển khai model.",Registry không phải nơi chạy inference và không thay S3 làm kho nhị phân; ECR không phải cơ sở dữ liệu theo dõi chất lượng model.,S3; ECR; SageMaker Model Registry,Domain 3,3.3,Artifact và phiên bản,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
Model-building pipeline vs deployment pipeline,build & validate • promote & host,Pipeline xây dựng và pipeline triển khai,A building pipeline produces validated model versions; a deployment pipeline promotes selected versions into serving environments.,Pipeline xây dựng tạo phiên bản đạt điều kiện; pipeline triển khai đưa phiên bản được chọn vào hạ tầng phục vụ.,Building: preprocess → train → evaluate → conditional register. Deployment: lấy model version phù hợp → cấu hình môi trường → deploy → kiểm tra và giám sát. Phân tách giúp cập nhật hạ tầng mà không luôn phải train lại.,Một model đã được phê duyệt có thể được triển khai lần lượt sang staging rồi production.,Thiết kế workflow có vòng đời model tách khỏi vòng đời hosting.,Không buộc mọi thay đổi endpoint đều chạy lại training; đăng ký thành công cũng không tự đồng nghĩa được phê duyệt để phục vụ.,SageMaker Pipelines; Model Registry; CodePipeline,Domain 3,3.3,Khung MLOps,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
Workflow orchestration,dependencies • sequence • branching,Điều phối workflow,"Orchestration coordinates dependent tasks, their execution order, and control flow.","Điều phối xác định công việc nào chạy, khi nào chạy và cách xử lý các nhánh trong một workflow.","Orchestrator gọi các dịch vụ thực hiện bước xử lý; nó không nhất thiết tự chạy thuật toán ML. Chọn theo hệ sinh thái: workflow ML tích hợp SageMaker, quy trình nhiều dịch vụ AWS, hay DAG Airflow sẵn có.",Chỉ đăng ký model sau khi Training hoàn tất và evaluation vượt ngưỡng.,Tự động hóa các job có phụ thuộc hoặc điều kiện chuyển bước.,CodeBuild thực thi build/test; ECR lưu image; các vai trò này khác orchestration cả quy trình.,SageMaker Pipelines; Step Functions; MWAA,Domain 3,3.3,Orchestration,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
DAG vs state machine,acyclic dependencies • states and transitions,DAG và máy trạng thái,A DAG encodes acyclic task dependencies; a state machine encodes states and transitions and can support loops.,"DAG là đồ thị phụ thuộc không có chu trình; state machine mô tả trạng thái và chuyển trạng thái, có thể có vòng lặp.","SageMaker Pipelines và Airflow biểu diễn workflow dạng DAG. Step Functions hỗ trợ nhánh điều kiện, xử lý song song và chuyển trạng thái lặp; không nên gọi mọi workflow Step Functions là DAG.",DAG: processing → training → evaluate. State machine: kiểm tra trạng thái → chờ → kiểm tra lại cho đến khi hoàn tất.,Chọn mô hình điều khiển luồng phù hợp độ phức tạp của workflow.,DAG không có nghĩa mọi bước nối tiếp; các nhánh độc lập có thể song song. State machine không đồng nghĩa chỉ là pipeline ML.,SageMaker Pipelines; Airflow; Step Functions,Domain 3,3.3,Orchestration,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
