MLA-C01 • DOMAIN 4,DỊCH VỤ VÀ TÍNH NĂNG,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,,,,,
69 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 4.1 + 4.2 + 4.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,3 module • Có phần mở rộng GenAI,,,,,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: O • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon SageMaker Model Monitor,production quality • baseline comparison • drift alerts,"Amazon SageMaker Model Monitor checks production model inputs and predictions against data-quality, model-quality, bias, and feature-attribution baselines. It uses captured inference data and scheduled analysis, with ground-truth labels for predictive-quality checks, to produce reports and metrics that support alerts and corrective action. Its purpose is to expose silent quality degradation; it does not automatically guarantee model correctness or deploy a replacement model.","Amazon SageMaker Model Monitor kiểm tra input và prediction production so với baseline chất lượng dữ liệu, chất lượng model, bias và feature attribution. Nó dùng dữ liệu inference capture và phân tích theo lịch, kèm nhãn thực tế khi kiểm tra chất lượng dự đoán, để tạo báo cáo và metric phục vụ cảnh báo, xử lý. Mục đích là phát hiện suy giảm âm thầm; nó không tự bảo đảm model đúng hoặc triển khai model thay thế.","Chuẩn hóa vòng capture–baseline–compare; phát hiện sớm thay đổi dữ liệu/hiệu quả; giảm kiểm tra thủ công, cung cấp bằng chứng cho sửa dữ liệu, audit hoặc retrain.",Capture → baseline phù hợp loại monitor → lịch analysis → violations/metrics → CloudWatch → playbook. Model-quality thêm join ground truth.,Ôn Task 4.1 và hệ thống hiện hữu dùng Model Monitor để theo dõi predictive ML.,"Ticket routing: baseline training, accuracy từ nhãn trễ, report drift định kỳ.",Hiện không mở cho khách hàng mới; khách hàng cũ tiếp tục dùng. Built-in statistics tập trung tabular; không mặc định hỗ trợ mọi topology/mode. Xem trạng thái hiện hành trước triển khai.,Khả năng monitoring SageMaker,Domain 4,4.1,Traditional ML monitoring,Bổ sung Domain 4,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://docs.aws.amazon.com/sagemaker/latest/dg/model-monitor.html
https://docs.aws.amazon.com/sagemaker/latest/dg/model-monitor-availability-change.html",16/09/2026
Amazon SageMaker Clarify,bias analysis • SHAP • feature attribution,"Amazon SageMaker Clarify provides capabilities for examining bias and explaining model predictions through feature attribution. In monitoring, its analysis compares fairness measurements and feature influence in production with development baselines, exposing changes aggregate accuracy might hide. These explanations and group metrics support investigation and mitigation; they do not prove causal relationships or establish one universal definition of fairness.","Amazon SageMaker Clarify cung cấp khả năng phân tích bias và giải thích prediction bằng đóng góp feature. Trong monitoring, phân tích so fairness metric và ảnh hưởng feature production với baseline development, làm rõ thay đổi mà accuracy tổng có thể che khuất. Explanation và metric theo nhóm hỗ trợ điều tra, mitigation; chúng không chứng minh quan hệ nhân quả hoặc xác lập một định nghĩa công bằng chung.",Làm rõ chênh lệch nhóm và thay đổi feature influence; cảnh báo trước khi accuracy tổng giảm; tạo bằng chứng để model/risk owners review.,Xác định groups/metrics → tính SHAP → baseline → so production cùng cấu hình → findings/alert → mitigation.,"Bias drift, feature attribution drift, giải thích hành vi model.",Account age mất ảnh hưởng trong khi monthly price tăng ảnh hưởng.,Cần group coverage và reference/explainer nhất quán. Monitoring tích hợp Model Monitor cần lưu ý trạng thái khả dụng ở dòng dịch vụ đó.,Khả năng explainability/bias,Domain 4,4.1,Traditional ML monitoring,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Amazon CloudWatch — metrics and dashboards,time series • custom quality metrics • unified visibility • cross-Region dashboard • infrastructure KPIs • security telemetry • investigation,"Amazon CloudWatch collects operational telemetry and application-published metrics for dashboards, analysis, and alarms. For inference monitoring, it places invocation volume, latency, and errors beside computed quality signals such as accuracy, drift, and escalation rate. The shared timeline supports cross-component investigation, but an application or evaluation job must calculate quality metrics from appropriate predictions, labels, or scored responses before publishing them.

For cost and performance optimization, CloudWatch also brings CPU, memory or accelerator telemetry where available, throughput, latency, and errors into shared operational dashboards. Cross-Region views and configured cross-account observability help teams compare resource behavior before and after rightsizing.

For security operations, CloudWatch also presents configured security-related metrics and log-derived signals alongside workload health. Teams must supply or enable the relevant telemetry and define meaningful thresholds so suspicious patterns can trigger investigation.","Amazon CloudWatch thu telemetry vận hành và metric do ứng dụng xuất bản để hiển thị dashboard, phân tích và cảnh báo. Trong inference monitoring, nó đặt invocation volume, latency, errors cạnh tín hiệu chất lượng đã tính như accuracy, drift và escalation rate. Timeline chung hỗ trợ điều tra giữa thành phần, nhưng ứng dụng/evaluation job phải tính metric chất lượng từ prediction, nhãn hoặc response đã chấm trước khi xuất bản.

Trong tối ưu cost/performance, CloudWatch còn đưa telemetry CPU, memory hoặc accelerator khi có sẵn, throughput, latency và errors vào dashboard vận hành chung. Góc nhìn nhiều Region và cross-account đã cấu hình giúp so hành vi tài nguyên trước/sau rightsizing.

Trong vận hành bảo mật, CloudWatch còn hiển thị metric liên quan bảo mật và tín hiệu tính từ log đã cấu hình cạnh tình trạng workload. Nhóm cần cung cấp hoặc bật đúng telemetry và định nghĩa ngưỡng có ý nghĩa để mẫu hoạt động đáng ngờ dẫn tới điều tra.","Tập trung metric kỹ thuật/nghiệp vụ; so theo thời gian/dimensions; dùng threshold, metric math và anomaly alarms để nối số đo với hành động.

Task 4.2: dashboard tập trung giúp nhận ra resource dư, bottleneck và regression sau tối ưu; giữ cả peak/p99 và model quality làm ràng buộc.

Task 4.3: Liên hệ security signals với workload impact; phát hiện patterns bất thường thay vì chỉ đợi sự cố rõ ràng.","Built-in metric hoặc custom computation → publish → dashboard/alarm → notification/event → response.

Task 4.2: Thêm dashboard cho utilization/throughput/latency/errors theo instance/variant/Region; đối chiếu baseline trước/sau mỗi thay đổi.

Task 4.3: Thu log/metric thích hợp → tạo custom hoặc log-derived metric khi cần → dashboard → alarm → playbook.","Traditional ML, FM và agent trong cùng hệ thống monitoring.

Task 4.3: Theo dõi failure/denial patterns và health khi điều tra bảo mật.","Accuracy giảm và class-share đổi trong khi latency ổn: ưu tiên model/data investigation.

Task 4.2: Hai Region trong một dashboard; mở rộng qua account khi đã cấu hình quyền/liên kết.

Task 4.3: Số request lỗi truy cập tăng cùng một deployment mới; đối chiếu CloudTrail/IAM.","CloudWatch không tự suy accuracy từ hạ tầng; cần namespace/dimension/statistic/unit đúng. Dashboard không thay alarm.

Không dùng average CPU một mình để quyết định giảm máy. Memory metrics cần nguồn thu phù hợp; cross-account cần cấu hình, không tự thấy mọi tài khoản.

Task 4.3: Không tự có metric cho mọi loại unauthorized action; giữ đầy đủ nguồn audit, không dựa chỉ vào biểu đồ aggregate.",Dịch vụ observability,Domain 4,4.1 / 4.2 / 4.3,Metrics và alerting; tối ưu cost/performance; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR",16/09/2026
Amazon CloudWatch alarms,threshold • M-out-of-N • state-change action • cost/unit alert • saturation • bounded response • security threshold • tested notification,"CloudWatch alarms evaluate metrics or supported metric expressions against configured conditions over recent periods and transition between OK, ALARM, and INSUFFICIENT_DATA. Evaluation settings control sensitivity and noise, while actions and state-change events connect breaches to notification or automation. An alarm supplies an actionable signal, but root-cause diagnosis still requires the underlying observations and application context.

For infrastructure optimization, alarms can flag sustained saturation, tail-latency violations, or custom cost-per-request signals so that teams can investigate or invoke a configured scaling or response action.

For workload security, alarms can evaluate configured signals derived from logs or custom metrics and invoke supported notification or response paths. The detection rule and the action integration must both be configured and tested; an alarm is a signal, not proof of an attack.","CloudWatch alarms đánh giá metric hoặc biểu thức metric được hỗ trợ theo điều kiện cấu hình trong các kỳ gần đây, rồi chuyển giữa OK, ALARM và INSUFFICIENT_DATA. Thiết lập evaluation kiểm soát độ nhạy/nhiễu, còn action và sự kiện đổi trạng thái nối vi phạm với thông báo hoặc tự động hóa. Alarm cung cấp tín hiệu để xử lý, nhưng chẩn đoán nguyên nhân vẫn cần quan sát gốc và ngữ cảnh ứng dụng.

Trong tối ưu hạ tầng, alarm có thể báo saturation kéo dài, vi phạm tail latency hoặc custom metric cost/request để nhóm điều tra hoặc gọi action scaling/response đã cấu hình.

Trong bảo mật workload, alarm có thể đánh giá tín hiệu được cấu hình từ log hoặc custom metric và gọi đường thông báo hoặc phản ứng được hỗ trợ. Cả quy tắc phát hiện lẫn tích hợp action phải được cấu hình và kiểm thử; alarm là tín hiệu chứ không phải bằng chứng chắc chắn có tấn công.","Giảm phụ thuộc xem dashboard thủ công; chọn số kỳ vi phạm để bắt xu hướng bền vững; đưa cảnh báo tới đúng người/workflow.

Task 4.2: phát hiện regression sau rightsizing và chi phí agent tăng dù traffic không đổi.

Task 4.3: Đưa security signal tới đúng người hoặc workflow; giảm thời gian phát hiện hành vi nghi vấn.","Metric/statistic/period → threshold + EvaluationPeriods/DatapointsToAlarm → missing-data rule → action/EventBridge → test.

Task 4.2: Xuất metric cost/unit hoặc resource KPI → đặt threshold/period phù hợp → liên kết notification/action → test.

Task 4.3: Chọn metric/window → đặt threshold và missing-data behavior → SNS hoặc action/event path được hỗ trợ → thử thông báo.","Accuracy thấp, drift cao, tool errors hoặc OTPS thấp.

Task 4.3: Cảnh báo repeated failures hoặc patterns audit đáng ngờ.","2 trong 3 kỳ drift vượt ngưỡng mới báo; chọn kỳ phù hợp cadence job.

Task 4.2: Cost/conversation tăng sau release agent; kiểm tra trace để tìm loops.

Task 4.3: Alarm cho tỷ lệ AccessDenied tăng sau rollout policy.","Phân biệt alarm state-change event với schedule; missing data không mặc định pass. Phải kiểm tra đường thông báo và target.

Cost/unit thường cần tính/xuất custom metric; alarm không tự là budget cap. Step scaling và target tracking cần policy đúng resource.

Task 4.3: Không khẳng định mọi loại target tự chạy trực tiếp từ mọi alarm; phải cấu hình đường tích hợp đúng và tránh remediation phá quyền hợp lệ.",Tính năng cảnh báo CloudWatch,Domain 4,4.1 / 4.2 / 4.3,Metrics và alerting; tối ưu cost/performance; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR",16/09/2026
Amazon CloudWatch anomaly detection,seasonality-aware band • dynamic baseline,"CloudWatch anomaly detection learns expected behavior from a metric's history and produces a changing band of normal values, reflecting patterns such as daily demand. Anomaly alarms detect observations above or below that band when fixed thresholds would produce noise or miss unusual drops. The capability identifies statistically unexpected behavior, while an investigation determines whether its cause is a failure or a legitimate change.",CloudWatch anomaly detection học hành vi kỳ vọng từ lịch sử metric và tạo dải bình thường thay đổi theo mẫu như nhu cầu theo ngày. Anomaly alarms phát hiện điểm trên/dưới dải khi threshold cố định gây nhiễu hoặc bỏ sót sụt giảm bất thường. Khả năng này xác định hành vi bất thường thống kê; điều tra tiếp mới phân biệt nguyên nhân là lỗi hay thay đổi hợp lệ.,Nhận biết seasonality và trend; dùng với built-in/custom metrics; phát hiện lệch theo ngữ cảnh thời gian.,Metric/statistic → expected band → sensitivity/direction → alarm → investigate.,"Invocation volume có chu kỳ, record counts, output statistics.",10 calls/phút bình thường ban đêm nhưng bất thường giữa giờ cao điểm.,Không dùng band thay ngưỡng quality/fairness tuyệt đối mà policy yêu cầu; band có thể thích nghi với thay đổi cần review.,Tính năng CloudWatch,Domain 4,4.1,Metrics và alerting,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Amazon CloudWatch Logs,content and errors • request correlation • investigation • Logs Insights • performance patterns • security evidence • protected retention,"CloudWatch Logs stores log events from applications and configured AWS integrations so teams can investigate individual cases behind aggregate metrics. In inference monitoring it can hold model invocation content and agent telemetry, linking request identifiers, timing, tool outcomes, and releases. Logs provide detailed evidence; additional analysis and alarms turn selected log patterns into continuous monitoring signals.

For performance investigation, CloudWatch Logs provides the stored events queried by Logs Insights to compare recurring patterns, identify changed errors, and correlate slow requests with a release or dependency.

For security investigation, CloudWatch Logs can retain application, service, and selected audit or network logs with correlation identifiers. Because these logs may contain prompts, responses, or credentials accidentally written by applications, their access, retention, and sensitive-data protection are part of the workload's security design.","CloudWatch Logs lưu log event từ ứng dụng và tích hợp AWS đã cấu hình để điều tra case cụ thể phía sau metric tổng. Trong inference monitoring, nó có thể lưu nội dung model invocation và agent telemetry, liên kết request ID, thời gian, kết quả tool và release. Logs cung cấp bằng chứng chi tiết; phân tích và alarm bổ sung chuyển mẫu log thành tín hiệu monitoring liên tục.

Trong điều tra hiệu năng, CloudWatch Logs cung cấp event lưu trữ để Logs Insights truy vấn, so mẫu lặp, tìm lỗi thay đổi và liên hệ request chậm với release hoặc dependency.

Trong điều tra bảo mật, CloudWatch Logs có thể lưu log ứng dụng, dịch vụ và các audit/network logs được chọn cùng correlation IDs. Vì log có thể chứa prompt, response hoặc credentials bị ứng dụng ghi nhầm, quyền truy cập, retention và bảo vệ dữ liệu nhạy cảm của log là một phần thiết kế bảo mật workload.","Đi từ spike tới request cụ thể; so prompt trước/sau release; tìm integration errors và correlation.

Task 4.2: từ latency spike đi vào exception/request cụ thể và tìm nguyên nhân.

Task 4.3: Cung cấp evidence chi tiết cho request đáng ngờ và đường truy xuất tài liệu; hỗ trợ metric filters/analysis theo cấu hình.","Bật logging/instrumentation → gửi event có metadata → tìm theo time/request/version → đối chiếu metric/trace → sửa nguyên nhân.

Task 4.2: Giới hạn log groups/time range rồi query trong Logs Insights; đối chiếu metrics/traces và release metadata.

Task 4.3: Bật nguồn cần thiết → kiểm soát role/destination/encryption/retention → correlate user/request/resource → redaction hoặc log-data-protection phù hợp.","Debug chất lượng/latency cần prompt, response hoặc tool error chi tiết.

Task 4.3: RAG retrieval audit, điều tra access failures và lưu log từ mạng private.","Tool span timeout; log cho thấy API contract mới không tương thích client.

Task 4.2: Lỗi timeout xuất hiện sau thay config; log chỉ ra tool/database thay vì model.

Task 4.3: Lưu document/chunk IDs đã dùng cho query; tránh ghi secret hoặc toàn bộ tài liệu không cần thiết.","Input/output có thể chứa dữ liệu nhạy cảm; cần access/retention phù hợp. Có log không tự có metric quality hay tracing đầy đủ.

Đặt retention theo nhu cầu điều tra; logging và query scan có phí. Không thu nội dung nhạy cảm quá mức cần thiết.

Task 4.3: PII đã mask ở response Guardrails không bảo đảm original invocation input trong log được mask. Không log API key hoặc raw sensitive trace.",Dịch vụ log,Domain 4,4.1 / 4.2 / 4.3,Điều tra; tối ưu cost/performance; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR
https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-sensitive-filters.html",16/09/2026
Amazon S3 — monitoring evidence,durable object storage • capture • labels • baseline • training artifacts • bucket policy • SSE-KMS,"Amazon S3 is object storage used in the monitoring workflow to retain captured inference inputs and outputs, reference datasets, delayed labels, and analysis reports. Keeping these artifacts with identifiers and version context makes comparisons reproducible and supports investigation or replay. S3 stores the evidence; compute jobs perform the joins, statistical analysis, and quality evaluation that produce actionable monitoring metrics.

In secure ML workflows, S3 also stores training datasets, model artifacts, predictions, and audit evidence under bucket and object permissions. Encryption settings, customer managed KMS keys where required, and controlled VPC access protect different boundaries, while lifecycle and retention settings govern how long the copies remain.","Amazon S3 là object storage dùng trong workflow monitoring để giữ input/output inference capture, dataset tham chiếu, nhãn đến trễ và báo cáo phân tích. Lưu artifact cùng ID và ngữ cảnh version giúp tái hiện phép so và hỗ trợ điều tra/replay. S3 lưu bằng chứng; compute jobs thực hiện join, phân tích thống kê và đánh giá chất lượng để tạo metric monitoring có thể xử lý.

Trong workflow ML bảo mật, S3 còn lưu training datasets, model artifacts, predictions và audit evidence theo quyền bucket/object. Thiết lập mã hóa, customer managed KMS key khi cần và truy cập VPC có kiểm soát bảo vệ các ranh giới khác nhau; lifecycle và retention quyết định thời gian giữ các bản sao.","Tách lưu trữ khỏi lịch phân tích; giữ evidence lâu hơn runtime; hỗ trợ đọc lại cùng baseline/dataset khi điều tra.

Task 4.3: Tách dữ liệu theo prefixes/buckets và nhiệm vụ; giữ bằng chứng bền vững với quyền giới hạn; hỗ trợ at-rest encryption.","Phân khu capture/reference/labels/reports → job đọc đúng cửa sổ → join/analyze → lưu report và publish metrics.

Task 4.3: Phân loại dữ liệu → scope role/bucket policy → cấu hình KMS khi cần → private route/endpoint policy → audit data events và retention.","Nhãn trễ, baseline có version, evaluation dataset/report và lịch sử inference.

Task 4.3: Lưu dữ liệu, model và log mà chỉ đúng training/inference/monitoring roles được dùng.","Prediction hôm nay ghép nhãn ticket hoàn thành ngày mai bằng inference ID.

Task 4.3: Training role đọc training/input và ghi artifacts; hosting role chỉ đọc artifact của model được deploy.","Chỉ lưu data không phát alarm; cần compute và notification. Thiết kế quyền, retention và chống nhầm version.

Task 4.3: ListBucket dùng bucket ARN; GetObject/PutObject dùng object ARN. Quyền S3 không tự có quyền KMS decrypt; endpoint policy không thay bucket/IAM policies.",Dịch vụ object storage,Domain 4,4.1 / 4.3,Dữ liệu monitoring; bảo mật workload,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/GVQ1SN594N/aws-ml-engineer-associate--secure-ml-and-ai-workloads/54MTEPSKTR",16/09/2026
Amazon SNS,publish/subscribe • notifications • alert fan-out,"Amazon Simple Notification Service is a managed publish/subscribe messaging service that distributes published notifications to subscribed recipients or supported endpoints. In inference monitoring, CloudWatch alarm actions can publish to an SNS topic so the responsible team receives a quality, drift, or operational alert. SNS delivers the notification; the response playbook and connected workflow define how the issue is investigated and resolved.","Amazon Simple Notification Service là dịch vụ messaging publish/subscribe được quản lý, phân phối thông báo tới người nhận hoặc endpoint đã đăng ký. Trong inference monitoring, action của CloudWatch alarm có thể publish vào SNS topic để nhóm phụ trách nhận cảnh báo quality, drift hoặc vận hành. SNS chuyển thông báo; playbook và workflow kết nối xác định cách điều tra, xử lý vấn đề.",Tách producer của alarm khỏi người nhận; thông báo nhiều bên theo ownership; hỗ trợ phản ứng nhanh thay vì xem thủ công.,Alarm ALARM → SNS topic → subscriptions đã hoạt động → triage owner → playbook.,"Gửi drift tới data scientist, missing data tới SRE, KPI tới business analyst.",Daily accuracy dưới mục tiêu tạo notification cho đội model.,SNS không tự retrain model hoặc tính drift; subscription và delivery path phải được xác nhận/test. Không đồng nhất SNS với EventBridge rule matching.,Dịch vụ thông báo,Domain 4,4.1,Alert routing,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
Amazon EventBridge and Scheduler,event routing • alarm state change • scheduled trigger • SageMaker state changes • routing to remediation,"Amazon EventBridge routes events to configured targets according to matching rules, while EventBridge Scheduler invokes supported targets on a schedule. In monitoring workflows, an alarm state-change event can start investigation or retraining, and a schedule can run recurring analysis or retraining. These capabilities provide the trigger and routing layer; the target workflow performs data checks, evaluation, and any controlled deployment.

SageMaker state-change events can also be routed to notifications or response workflows for failed jobs and deployment problems. EventBridge supplies event matching and delivery; the target performs diagnosis or corrective work.","Amazon EventBridge định tuyến event tới target theo rule khớp điều kiện, còn EventBridge Scheduler gọi target được hỗ trợ theo lịch. Trong monitoring, event đổi trạng thái alarm có thể khởi động điều tra/retraining, còn schedule chạy phân tích hoặc retraining định kỳ. Hai khả năng cung cấp lớp trigger và routing; workflow đích thực hiện kiểm tra dữ liệu, evaluation và triển khai có kiểm soát.

Sự kiện đổi trạng thái SageMaker còn có thể được route tới thông báo hoặc workflow xử lý job lỗi và vấn đề deployment. EventBridge cung cấp match/delivery event; target mới thực hiện chẩn đoán hoặc khắc phục.","Nối monitoring với hành động mà ít glue logic; hỗ trợ cả phản ứng theo sự kiện và lịch mùa vụ; tách alarm producer khỏi pipeline.

Task 4.2: giảm phát hiện thủ công job/endpoint/pipeline failure và nối với response.","CloudWatch state-change + rule filter → target; hoặc schedule → target. Target kiểm tra tình trạng, chống trùng và ghi kết quả.

Task 4.2: Lọc đúng source/detail-type/status của SageMaker event → gọi target → kiểm tra idempotency/quyền/retry → ghi kết quả.",Event-driven quality remediation; daily scoring; seasonal retraining.,"Quality ALARM → pipeline xác nhận labels đủ rồi train/evaluate candidate.

Task 4.2: Training job Failed → notification kèm job ID và workflow phân tích lỗi.","Không trigger mọi alarm bất kể state/nguồn; tránh chạy trùng tốn chi phí. EventBridge không phải engine tính accuracy hay tự phê duyệt model.

Không phải dashboard hoặc distributed tracer. Scheduled scaling capacity khác Scheduler trigger; tránh tự retrain mọi lỗi hạ tầng.",Dịch vụ event routing/lập lịch,Domain 4,4.1 / 4.2,Automation; tối ưu cost/performance,Skill Builder,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://skillbuilder.aws/learn/SEJPMPB8Y7/aws-ml-engineer-associate--optimize-costs-and-performance/2ZZA686XXW",16/09/2026
Amazon SageMaker Pipelines — response workflow,ML orchestration • evaluate before promote • retraining,"SageMaker Pipelines orchestrates connected ML processing, training, evaluation, and model-management steps with defined dependencies. When a monitoring signal starts a retraining workflow, Pipelines can prepare current data, train a candidate, evaluate it, and apply a quality condition before the model proceeds toward approval or deployment. It makes the corrective workflow repeatable, while monitoring and release policy determine when it should run and what may be promoted.","SageMaker Pipelines điều phối các bước ML processing, training, evaluation và quản lý model với dependency được định nghĩa. Khi tín hiệu monitoring khởi động retraining, Pipelines có thể chuẩn bị dữ liệu hiện tại, train candidate, đánh giá và áp điều kiện chất lượng trước khi model đi tới approval/deployment. Nó giúp workflow khắc phục lặp lại được; monitoring và release policy quyết định khi nào chạy và candidate nào được promote.",Chuẩn hóa remediation có quality gate và traceable artifacts; giảm thao tác thủ công; có thể reuse pipeline cho event/on-demand/schedule.,Trigger → validate/preprocess → train → evaluate → condition → register/approval → controlled deploy → monitor.,Retrain do degradation đã được xác nhận và dữ liệu mới phù hợp.,Fraud recall giảm → train với nhãn mới; candidate không đạt thì giữ model hiện tại.,Train Completed không nghĩa chất lượng đạt. Module này tập trung trigger/response; chi tiết orchestration nằm Domain 3.,Workflow ML,Domain 4,4.1,Automation,Skill Builder,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
