MLA-C01 • DOMAIN 2,THUẬT NGỮ & KEYWORD,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
164 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +42 mục • mở rộng 13,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Modeling approach selection,"• Business requirement first
• Data + output + constraints
• Evidence-based choice",Lựa chọn cách tiếp cận mô hình,"Modeling approach selection matches a business task, available data, and operational constraints to a suitable model or service.","Chọn mô hình/dịch vụ phù hợp đầu ra cần có, dữ liệu hiện hữu và các ràng buộc của bài toán.","Xác định cần predict, generate, retrieve hay take action; kiểm tra dữ liệu/nhãn, chất lượng, khả năng giải thích, deadline và tổng chi phí. Chọn cách đơn giản nhất đạt yêu cầu rồi xác nhận bằng thử nghiệm.",Phân loại giao dịch có nhãn → traditional ML; hỏi tài liệu thường đổi → RAG; đặt lịch qua API → agent/tool use.,"Bước đầu trước quyết định train từ đầu, dùng pretrained hay gọi managed API; xem D2-P01.",Không chọn công nghệ chỉ vì mới/lớn. Một ví dụ trong bài không chứng minh cách đó luôn tốt nhất cho mọi bộ dữ liệu.,SageMaker AI; Bedrock; AWS AI services,Domain 2,2.1,Lựa chọn giải pháp,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
AWS AI and ML stack,"• AI services
• Managed ML
• Frameworks / infrastructure
• Control vs effort",Ba tầng AI và ML trên AWS,"The AWS AI/ML stack offers task-specific AI APIs, managed ML development, and lower-level frameworks and compute.","Ba tầng gồm API AI cho nhiệm vụ có sẵn, nền tảng xây ML được quản lý và framework/hạ tầng mức thấp.","Tầng cao giúp bắt đầu nhanh, ít phải vận hành model; SageMaker cho chọn thuật toán và train với dữ liệu riêng; framework trên EC2/EKS/ECS cho tùy biến sâu nhưng tăng trách nhiệm vận hành.",Textract đọc invoice; SageMaker fine-tune model ảnh; PyTorch trên hạ tầng riêng cho workflow đặc thù.,"Khi đề hỏi mức kiểm soát, ML expertise và công sức vận hành cần chấp nhận.","Tầng không phải ranh giới cứng: nhiều AI services có custom features cần dữ liệu, ví dụ Personalize/Custom Labels. Không khẳng định mọi API AI đều không cần train.",Textract; SageMaker AI; PyTorch; EC2,Domain 2,2.1,Lựa chọn giải pháp,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Build versus buy,"• Control
• Time to value
• Expertise
• Cost shape",Tự xây so với dùng giải pháp có sẵn,Build-versus-buy compares custom development with adopting managed services or pretrained capabilities.,So sánh công sức tự phát triển với việc dùng dịch vụ hoặc năng lực model đã có.,"Đánh giá bốn lựa chọn: managed AI service, FM trên Bedrock, pretrained model tự triển khai/adapt, custom solution. Các trục là tốc độ ra giá trị, kiểm soát, cấu trúc chi phí và chuyên môn có thể duy trì.","Team nhỏ cần sentiment trong một tháng, API đã đạt chất lượng → dùng dịch vụ sẵn có; không mặc định tự train chỉ để có toàn quyền.","Khi có nhiều cách cùng giải được nhiệm vụ nhưng khác deadline, staffing và mức tùy biến.",Custom không luôn chính xác hơn hoặc luôn đắt hơn ở mọi quy mô; managed không luôn rẻ nhất khi volume lớn. So sánh tổng chi phí thực đo.,Comprehend; Bedrock; JumpStart; SageMaker AI,Domain 2,2.1,Lựa chọn giải pháp,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Traditional machine learning,"• Defined target
• Tabular prediction
• Classification / regression / clustering",Học máy truyền thống,"Traditional ML methods learn patterns for tasks such as classification, regression, clustering, or anomaly detection.","Nhóm phương pháp học quy luật để phân loại, dự đoán số, phân cụm hoặc phát hiện bất thường.",Bài nhấn mạnh supervised prediction trên historical tabular data có nhãn và metric rõ; mô hình tuyến tính/cây đơn giản có thể dễ giải thích. Unsupervised clustering là ngoại lệ không cần target labels.,Dự đoán default từ hồ sơ có nhãn; dự đoán giá bán bằng regression; nhóm khách hàng bằng clustering.,"Bài toán đầu ra xác định, dữ liệu phù hợp và cần tốc độ/chi phí dự đoán hoặc interpretability.",Không phải traditional ML nào cũng cần labels hoặc chỉ xử lý tabular; CV/NLP cũng có mô hình discriminative. Dữ liệu ảnh/text không tự bắt buộc chọn GenAI.,SageMaker AI; Built-in algorithms,Domain 2,2.1,Paradigm,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
Generative AI,"• Generate new content
• Pretrained capability
• Prompt / RAG / tune",AI tạo sinh,"Generative AI models produce content such as text, images, summaries, or other outputs from learned patterns and supplied context.","Model tạo sinh tạo nội dung như văn bản, ảnh, tóm tắt hoặc phản hồi từ quy luật đã học và ngữ cảnh được cung cấp.","FM có thể làm nhiều nhiệm vụ với ít hoặc không có dữ liệu gán nhãn riêng cho task. Thử prompting, bổ sung retrieval hoặc fine-tune tùy phần thiếu; đánh giá cả chất lượng và chi phí inference.","Tóm tắt paper, soạn phản hồi khách hàng, hỏi đáp tài liệu nội bộ hoặc tạo ảnh.",Cần đầu ra ngôn ngữ/media mở hoặc tận dụng khả năng pretrained; có thể phối hợp classifier định tuyến rồi FM tạo phản hồi.,GenAI cũng có thể phân loại nhưng không mặc định tối ưu chi phí cho mọi task đơn giản. Text trôi chảy không đồng nghĩa facts đúng hay giải thích đáng tin.,Amazon Bedrock; Foundation models,Domain 2,2.1,Paradigm,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Classification,"• Discrete class
• Labeled examples
• Binary / multiclass",Phân loại,Classification predicts a discrete category or class from input features.,Dự đoán một lớp/danh mục rời rạc từ các đặc trưng đầu vào.,"Chọn nhãn và metric theo chi phí sai sót; có binary, multiclass hoặc multi-label. Khi dữ liệu có nhãn tốt và target rõ, đây là candidate traditional ML thay vì sinh câu trả lời tự do.",Benign/malignant là binary; positive/negative/neutral là multiclass; fraud/not-fraud là binary.,"Câu hỏi đầu ra là loại nào, có/không hoặc thuộc nhóm nhãn đã định nghĩa.",Một mã số đại diện category vẫn là classification. Accuracy có thể gây hiểu lầm khi class imbalance; không nhầm clustering tự tìm nhóm với học nhãn đã biết.,SageMaker AI; Comprehend; Rekognition Custom Labels,Domain 2,2.1,ML tasks,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Regression,"• Continuous numeric target
• Predict a value
• Error magnitude",Hồi quy,Regression predicts a numeric quantity from input data.,Dự đoán một đại lượng số từ dữ liệu đầu vào.,"Xác định target số, khoảng giá trị và metric sai số phù hợp; chọn mô hình theo quan hệ dữ liệu, interpretability và khả năng đáp ứng cost/latency. Không bắt buộc dùng model phức tạp.","Ước tính giá, thời lượng giao hàng hoặc nhu cầu hàng hóa; đối chiếu sai số trên dữ liệu giữ riêng.",Đề hỏi how much/how long thay vì chọn class; dữ liệu lịch sử có target đáng tin.,Forecasting còn cần xử lý cấu trúc thời gian; mã class là số không làm task thành regression. Logistic regression thường dùng classification dù có chữ regression.,SageMaker AI; Built-in algorithms,Domain 2,2.1,ML tasks,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Clustering,"• Unlabeled groups
• Similarity
• Exploratory structure",Phân cụm,Clustering groups observations by similarity without requiring predefined target labels.,Nhóm quan sát tương tự nhau mà không cần nhãn target có sẵn.,"Chọn features, scaling và notion of similarity có ý nghĩa; số nhóm có thể được đặt hoặc suy theo phương pháp. Kiểm tra tính hữu ích nghiệp vụ thay vì coi cluster ID là ground truth.",Nhóm khách hàng theo hành vi để khám phá phân khúc khi chưa có nhãn segment.,Tìm cấu trúc/nhóm tự nhiên trong dữ liệu; một ví dụ cho unsupervised ML.,Bài có câu khái quát traditional ML cần labeled data; clustering là ngoại lệ quan trọng. Cluster không tự có ý nghĩa “khách tốt/xấu” và không phải nhãn thật được xác minh.,SageMaker AI built-in algorithms,Domain 2,2.1,ML tasks,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
Interpretability,"• Understand prediction factors
• Simple models
• Decision justification",Khả năng diễn giải mô hình,Interpretability concerns how well a person can understand the relationship between a model's inputs and its predictions.,Mức con người hiểu được quan hệ giữa đầu vào và kết quả dự đoán của model.,"Linear models và cây nhỏ có thể thể hiện hệ số/quy tắc; cần xét features, assumptions và tính ổn định. Đây là tiêu chí chọn model bên cạnh performance, thời gian và chi phí.","Dữ liệu khoản vay có nhãn, yêu cầu giải thích yếu tố mỗi quyết định → thử traditional model có tính diễn giải và kiểm định phù hợp.",Bài toán cần truy nguyên lý do hoặc người dùng phải hiểu ảnh hưởng của features.,Không phải mọi tree ensemble/deep model đều dễ hiểu. Lời giải thích do LLM tự viết không tự là lý do thật của mô hình hoặc bằng chứng nhân quả.,SageMaker AI; Clarify khi phù hợp,Domain 2,2.1,Model criteria,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Pre-trained model,"• Learned representations
• Deploy or adapt
• Less work than scratch",Mô hình đã được huấn luyện trước,A pretrained model has already learned parameters from prior data and can be reused or adapted for another task.,Model đã học tham số từ dữ liệu trước đó và có thể dùng lại hoặc điều chỉnh cho nhiệm vụ mới.,"Chọn model phù hợp modality/task/license; benchmark as-is hoặc fine-tune trên dữ liệu riêng. Bạn vẫn phải quyết định cấu hình, evaluation và vận hành deployment.","Lấy pretrained image backbone từ JumpStart, fine-tune để phân loại ảnh của tổ chức.","Khi managed API không đủ nhưng đã có model phù hợp, cần nhiều quyền kiểm soát hơn và muốn giảm công train từ đầu.","Pretrained không đồng nghĩa phù hợp ngay domain của bạn. Kiểm tra preprocessing, label head, license và model-specific constraints.",SageMaker JumpStart; SageMaker AI,Domain 2,2.1,Model options,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
