MLA-C01 • DOMAIN 1,GHÉP TÌNH HUỐNG,Các tình huống được diễn giải để ôn tập; không ghi là đáp án chính thức của bộ đề.,,,,,,,,,
62 mẫu ghép • 12 cột,Đọc C:D → chọn ở E,Ảnh 4 và 5 trùng nhau: hợp nhất thành M01–M03 (Token / Embedding / RAG).,,,,,,,,,
Keyword: B • Giải thích: F,Phương án nhiễu: G,"Các câu về regularization, chọn thuật toán và luồng train/deploy đầy đủ được dành cho domain tương ứng.",,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: K • Task: I,M43–M62: Validate Data; liên hệ P01–P42. Tự diễn giải để ôn tập.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
M01 • Token,"• Basic unit
• Word / subword / symbol
• Tokenization",Basic text units processed by a language model.,Các đơn vị văn bản cơ bản được mô hình ngôn ngữ xử lý.,Token,"Một token có thể tương ứng với từ, một phần từ, ký tự hoặc đơn vị khác tùy tokenizer. Token được ánh xạ thành ID để đưa vào mô hình; số token khác số từ và số ký tự.","Embedding là vector biểu diễn, không phải tên đơn vị token. RAG là cách truy xuất/bổ sung ngữ cảnh. Temperature là tham số sinh, không phải đơn vị dữ liệu.",P18 — phân biệt tokenization với bước tạo embedding. Từ khóa cũng có trong Thuat ngu D1: Tokenization.,1.2,Theo ảnh người dùng,"https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain1.html
https://scikit-learn.org/stable/modules/feature_extraction.html
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
M02 • Embedding,"• Dense vector
• Semantic representation
• Similarity",Numeric vectors that represent semantic relationships in text.,Các vector số biểu diễn thông tin ngữ nghĩa của văn bản.,Embedding,"Embedding model ánh xạ nội dung thành vector để so sánh hoặc dùng làm feature. Similarity phụ thuộc model, metric và cấu hình; query và tài liệu phải dùng biểu diễn tương thích.","Token là đơn vị đầu vào, không tự là vector ngữ nghĩa. RAG sử dụng retrieval và có thể dùng embeddings nhưng hai khái niệm không đồng nghĩa. Temperature không tạo vector index.",P18 — tạo và lưu embeddings; P19 — tạo query embedding rồi truy xuất.,1.1,Theo ảnh người dùng,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/bedrock/latest/userguide/titan-embedding-models.html
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
M03 • RAG,"• Retrieve external information
• Augment context
• Grounded response",Retrieve relevant source information to enrich the context used for a generated response.,Truy xuất thông tin liên quan từ nguồn dữ liệu để bổ sung ngữ cảnh cho câu trả lời được sinh.,Retrieval-augmented generation (RAG),"RAG kết hợp lấy nội dung liên quan với việc cung cấp nội dung đó cho mô hình sinh. Trong phần Domain 1 này, trọng tâm là chuẩn bị tài liệu, chunk, embedding, lưu trữ và retrieval; không mở rộng tuning/deployment mô hình.","Embedding chỉ là một biểu diễn hỗ trợ tìm kiếm, chưa tạo toàn bộ RAG workflow. Token là đơn vị dữ liệu. Temperature không truy xuất nguồn bổ sung.","P18–P19. Ảnh 4 và 5 trùng nội dung, được hợp nhất thành M01–M03.",1.1,Theo ảnh người dùng,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
M04 • Khám phá schema,"• Infer schema
• Discover columns
• Populate Data Catalog",Infer source schemas and register tables and partitions for later processing.,Suy luận schema nguồn và đăng ký bảng/phân vùng để xử lý hoặc truy vấn sau đó.,AWS Glue crawler,Crawler khảo sát nguồn theo classifiers và ghi metadata vào Glue Data Catalog. Đây là trách nhiệm discover/catalog; output metadata giúp công cụ khác biết cấu trúc/vị trí dữ liệu.,"Athena thực hiện query; trong lựa chọn của ảnh 1, crawler là công cụ suy luận schema phù hợp. DataBrew thực hiện preparation; crawler không tự thay thế recipe làm sạch.",P01 bước 1; P03 bước đăng ký metadata. Crawler không bắt buộc nếu schema/catalog đã được khai báo đúng.,1.1,Theo ảnh (thiếu đề),"https://docs.aws.amazon.com/glue/latest/dg/add-crawler.html
https://docs.aws.amazon.com/athena/latest/ug/what-is.html",14/09/2026
M05 • Chuẩn bị dữ liệu không viết code,"• Visual data preparation
• Clean / normalize
• Reusable recipe",Clean and engineer tabular data through reusable visual transformation steps.,Làm sạch và tạo đặc trưng dạng bảng bằng các bước biến đổi trực quan có thể dùng lại.,AWS Glue DataBrew,DataBrew lưu các phép biến đổi thành recipe và dùng recipe job áp dụng cho dataset. Phù hợp keyword no-code/visual cleaning khi đề và nguồn dữ liệu phù hợp khả năng công cụ.,"Batch Transform chủ yếu chạy inference theo lô với model đã có. Glue crawler suy luận metadata, không thực hiện trọn pipeline cleaning. DataBrew không có nghĩa mọi transform đều cần crawler trước.",P01 bước 2–3: prepare bằng recipe rồi output S3. Ảnh 1 thiếu phần đề; đây là vai trò dịch vụ để suy luận theo điều kiện.,1.2,Theo ảnh (thiếu đề),"https://docs.aws.amazon.com/databrew/latest/dg/what-is.html
https://docs.aws.amazon.com/sagemaker/latest/dg/batch-transform.html",14/09/2026
M06 • Chạy code preprocessing tùy chỉnh,"• Custom preprocessing
• Script / container
• Processing job",Run custom data-preparation code in a managed processing job.,Chạy mã tiền xử lý tùy chỉnh trong một job xử lý được quản lý.,Amazon SageMaker Processing,"Processing cho phép chạy script hoặc container xử lý dữ liệu với input/output và tài nguyên cấu hình. Dùng khi cần logic tùy chỉnh cho chuẩn bị dữ liệu, feature engineering hoặc validation.",SageMaker Batch Transform không là tên gọi chung của batch preprocessing: nhiệm vụ chính của nó là batch inference. DataBrew phù hợp thao tác trực quan; Processing phù hợp khi cần code/container riêng.,P09 bước compute batch; P11 khi xuất/chạy flow hoặc logic xử lý theo cơ chế được hỗ trợ.,1.2,Bổ sung Domain 1,"https://docs.aws.amazon.com/sagemaker/latest/dg/processing-job.html
https://docs.aws.amazon.com/sagemaker/latest/dg/batch-transform.html",14/09/2026
M07 • Volume hiệu năng cao và giữ dữ liệu,"• High performance
• Persistent storage
• Block volume",An EC2 workload needs repeated low-latency disk access and data that survives stop/start.,Ứng dụng EC2 cần đọc ổ đĩa nhiều lần với độ trễ thấp và giữ dữ liệu sau stop/start.,Amazon EBS,"EBS cung cấp block volume cho EC2, với các lựa chọn IOPS/throughput phù hợp workload. Dữ liệu tồn tại qua stop/start; vòng đời khi terminate cần xem DeleteOnTermination.","Instance store phù hợp scratch/cache nhưng không giữ dữ liệu qua stop/terminate theo cách EBS. S3 là object storage qua API; EFS là shared filesystem, không cùng giao diện block volume.","P21 — S3 làm nguồn, EBS làm working volume. Nhớ đúng cặp benefit High performance + Persistent storage.",1.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/ebs/latest/userguide/what-is-ebs.html
https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/preserving-volumes-on-termination.html",14/09/2026
M08 • Dataset dùng chung qua NFS,"• Shared filesystem
• Concurrent access
• NFS",Multiple instances need to mount and share a growing file dataset.,Nhiều instance cần mount và dùng chung một tập file tăng dần.,Amazon EFS,"EFS cung cấp filesystem được quản lý cho các client được hỗ trợ qua NFS. Phù hợp yêu cầu shared datasets và concurrent access, cùng khả năng co giãn dung lượng theo dữ liệu.",EBS thông thường là block volume cho instance; Multi-Attach có điều kiện và không tự thành shared NAS. S3 không mặc định cung cấp đầy đủ POSIX/NFS semantics.,P21 phần biến thể chọn storage; đối chiếu nhu cầu shared access trước khi chọn working storage.,1.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/efs/latest/ug/whatisefs.html",14/09/2026
M09 • Filesystem song song cho training/HPC,"• High performance
• Parallel filesystem
• S3 integration
• Lustre",Distributed workers require high-throughput parallel file access with an S3-backed data repository workflow.,Các worker phân tán cần truy cập file song song với thông lượng cao và tích hợp kho dữ liệu S3.,Amazon FSx for Lustre,FSx for Lustre cung cấp filesystem hiệu năng cao cho workload I/O song song; data repository association hỗ trợ liên kết dữ liệu S3 theo cấu hình. Phù hợp khi keyword HPC/large-scale training đi cùng yêu cầu file I/O.,"FSx là họ dịch vụ: ONTAP, Windows File Server, OpenZFS và Lustre không có cùng mục tiêu/protocol. EFS hỗ trợ shared file access nhưng không mặc định thay thế mọi workload Lustre.",P21 phần biến thể. Chọn scratch/persistent và import/export theo yêu cầu; liên kết S3 không mặc định đồng bộ hai chiều mọi lúc.,1.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/fsx/latest/LustreGuide/what-is.html",14/09/2026
M10 • Stream có consumer tùy chỉnh và replay,"• Custom consumers
• Replay
• Partition key
• Retention",A stream needs independently implemented consumers and the ability to reprocess retained events.,Luồng sự kiện cần consumer tự xây dựng và khả năng đọc lại dữ liệu còn trong retention.,Amazon Kinesis Data Streams,Kinesis Data Streams cung cấp luồng record để consumer đọc/xử lý theo kiến trúc đã thiết kế. Partition key ảnh hưởng phân phối tải và phạm vi ordering; retention hỗ trợ replay trong khoảng được cấu hình.,"Firehose tập trung delivery vào đích và buffering, không thay thế mọi mô hình consumer/replay tùy chỉnh. Flink là engine xử lý stream, có thể đọc từ Kinesis.","P07 bước ingest; P22 khi kiểm tra shard nóng, throughput và consumer lag.",1.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/streams/latest/dev/key-concepts.html",14/09/2026
