MLA-C01 • DOMAIN 2,QUY TRÌNH THEO BƯỚC,Choose • Train • Customize • Evaluate,,,,,,,,,,,,
51 mục • 15 cột,Luồng ngắn: C • Chi tiết: E:H,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,
Keyword cần nhớ: cột B,Bẫy: J • Điều kiện: K,Analyze / Evaluate: +13 mục • mở rộng 3,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: N • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,
Key / Quy trình,Keyword nhận diện,Chuỗi bước cần nhớ,Tình huống / Mục tiêu,Bước 1,Bước 2,Bước 3,Bước 4 / Tùy chọn,Vì sao theo thứ tự này,Phương án nhiễu / Vì sao loại,Điều kiện / Biến thể / Đầu ra,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
D2-P01 • Chọn approach từ yêu cầu nghiệp vụ,"• Predict / generate / ground / act
• Data + constraints
• Least effort that fits","1. Định nghĩa nhiệm vụ và ràng buộc
2. Kiểm tra dữ liệu / giải pháp có sẵn
3. Shortlist approach phù hợp
4. Thử nghiệm và chọn bằng evidence","Cần chọn giữa AWS AI service, traditional ML, pretrained model, FM hoặc agentic workflow trước khi đầu tư triển khai.","Define the outcome — cần class/number, nội dung sinh mới, câu trả lời có nguồn hay hành động qua API? Đặt quality, interpretability, latency, deadline, cost ceiling và staffing.","Assess feasibility — xem dữ liệu/nhãn, domain complexity và API/model có sẵn. Dịch vụ sẵn có đáp ứng task là candidate ưu tiên; nếu chưa fit, xác định chính xác phần cần custom.",Shortlist — traditional ML cho prediction phù hợp; FM cho generation; RAG khi thiếu private/current facts; pretrained adaptation khi có data và cần kiểm soát; agent khi cần tool/actions nhiều bước.,"Validate choice — chạy representative workload, so quality/cost/time và kiểm tra failure cases; ghi lý do chọn và tiêu chí phải đạt. Kết quả là phương án có căn cứ để bước sau triển khai.","Requirement → Feasibility → Candidate → Evidence. Lựa chọn compute/tuning đi sau hiểu rõ task, tránh tối ưu một phương án không giải đúng vấn đề.","Text/image không tự bắt buộc GenAI; labeled data không tự buộc scratch training. “Lớn nhất”, “mới nhất” hoặc “toàn quyền” không là tiêu chí đủ.","Một hệ thống có thể phối hợp classifier định tuyến với FM generation. Đây là quy trình quyết định, không phải mọi ứng dụng đều phải triển khai tất cả các nhánh.",2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
D2-P02 • Dịch giọng nói bằng các AI services,"• Speech → text → translated text → speech
• Compose specialized APIs","1. Transcribe audio
2. Translate văn bản
3. Polly tạo speech
4. Kiểm tra nội dung / độ trễ",Cần chuyển lời nói từ một ngôn ngữ sang lời nói ở ngôn ngữ khác mà không tự train cả pipeline.,"Transcribe — nhận audio theo API/language hỗ trợ, chuyển thành transcript; kiểm tra chất lượng bản ghi và thuật ngữ quan trọng.","Translate — chuyển transcript từ ngôn ngữ nguồn sang đích; giữ nội dung và thuật ngữ miền, xử lý đoạn/chunk theo flow hỗ trợ.",Polly — tạo audio từ bản dịch bằng voice/language/engine thích hợp; kiểm tra phát âm và nhịp điệu nếu cần.,"Validate end to end — nghe/đọc mẫu đại diện, đo latency và tổng phí ba bước; xử lý error/retry và không bỏ qua lỗi upstream.",Output của bước trước là input bước sau: audio→text→text đích→audio. Mỗi dịch vụ giải một chức năng khác nhau.,Polly không transcribe; Translate không tự làm speech-to-speech; Transcribe không tự dịch. Một lỗi transcript có thể lan sang bản dịch và giọng đọc.,"Cần cả ba dịch vụ hỗ trợ ngôn ngữ/format của flow. Realtime end-to-end cần thiết kế streaming/segmentation phù hợp, không suy chỉ nối ba API là luôn đạt latency.",2.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
D2-P03 • Phân tích feedback scan đa ngôn ngữ,"• Extract → translate → analyze
• Textract / Translate / Comprehend","1. Textract lấy text / cấu trúc
2. Chuẩn hóa và dịch khi cần
3. Comprehend phân tích text
4. Đối soát kết quả",Feedback forms scan từ nhiều ngôn ngữ cần trích nội dung và phân tích cảm xúc/thực thể theo tình huống bài.,"Extract — dùng Textract lấy text, fields/tables đúng loại tài liệu; kiểm tra confidence và quan hệ cấu trúc trước mapping.","Prepare / translate — kiểm tra encoding, language và content; dùng Translate khi cần ngôn ngữ đích mà bước NLP hỗ trợ. Giữ bản gốc và mapping để truy vết.",Analyze — gọi Comprehend task phù hợp (sentiment/entities/key phrases); lưu scores cùng ID của tài liệu/đoạn nguồn.,"Validate — đối chiếu mẫu từ nguồn→bản dịch→NLP result; phát hiện lỗi extraction hoặc thay đổi nuance do translation, kiểm soát trường hợp không chắc.","Phải có text dùng được trước phân tích NLP. Dịch chỉ là bước khi requirement/language support đòi hỏi, không bắt buộc mọi workflow.",Comprehend không thay công cụ đọc structured scan; Textract không tự trả sentiment. Dịch có thể làm đổi nuance nên cần benchmark end-to-end.,Có thể phân tích trực tiếp ngôn ngữ nguồn nếu API hỗ trợ và quality đạt; không thêm translation chỉ để làm pipeline dài hơn.,2.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
D2-P04 • Shortlist và chọn foundation model,"• Modality → quality → latency/cost
• Own eval dataset
• Verify capabilities","1. Lọc theo task và khả năng bắt buộc
2. So chất lượng trên dữ liệu thật
3. Đo latency và cost theo volume
4. Chọn candidate đạt yêu cầu",Có nhiều FM khác nhà cung cấp; cần chọn phù hợp nghiệp vụ và ngân sách thay vì chỉ dựa leaderboard.,"Filter — kiểm tra input/output modality, languages, context/output budget, Region, license và customization cần có. Loại candidate không đáp ứng tiêu chí bắt buộc.","Evaluate quality — dùng cùng representative dataset/rubric; chọn automatic, human hoặc judge evaluation thích hợp. Xem case khó và các nhóm quan trọng, không chỉ một điểm trung bình.","Measure operations — benchmark latency cùng typical/long prompts, output lengths và expected traffic; ước tính phí input/output, retrieval, caching hoặc tools khi có.","Select and record — chọn phương án đủ quality/latency với chi phí/công vận hành phù hợp; ghi model/version, prompt, assumptions và kết quả để tái kiểm tra khi workload/catalog thay đổi.",Khả năng đáp ứng đi trước so giá: model rẻ không đúng modality là không khả thi. Evidence trên task thật quan trọng hơn vị trí public benchmark.,Không mặc định largest model hay largest context luôn tối ưu. Smallest chỉ là candidate khi thực sự đạt quality và latency; price không luôn tăng đơn điệu theo size.,"Kết quả là lựa chọn model có giới hạn rõ. Module này bao gồm lựa chọn/evaluation hỗ trợ2.1, chưa thay toàn bộ quy trình phân tích model performance2.3.",2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/evaluation.html
https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html",14/09/2026
D2-P05 • Base RAG cho tài liệu riêng thường đổi,"• Indexing path + query path
• Current context
• Source attribution","1. Chuẩn bị / index corpus
2. Embed query và retrieve
3. Đưa evidence vào prompt
4. Generate, cite và đánh giá","Base model diễn đạt tốt nhưng thiếu nội dung tài liệu nội bộ hoặc facts thay đổi, cần trả lời có căn cứ.","Prepare / index — từ data sources hợp lệ, parse/chunk, embed và lưu vectors/metadata trong backend phù hợp; sync cập nhật để nội dung retrieval không lỗi thời.","Retrieve — với base vector pattern, embed query trong không gian tương thích, tìm chunks liên quan và lọc quyền/metadata phù hợp.","Augment prompt — ghép câu hỏi với số đoạn liên quan đủ dùng, hướng model bám evidence và nêu thiếu thông tin khi nguồn không đủ; không biến retrieved instructions thành system policy.","Generate and evaluate — tạo câu trả lời với source references khi hỗ trợ; kiểm tra retrieval coverage, factual support, freshness, latency và total cost.",Có hai đường: ingestion/index trước query-time retrieval/generation. Cập nhật facts ở nguồn/index không cần cập nhật model weights trong RAG thuần.,Fine-tune mỗi lần policy đổi thường tốn công và khó truy nguồn. RAG không đảm bảo đúng nếu source/retrieval sai; store vector không tự là toàn bộ ứng dụng QA.,Knowledge Bases cung cấp nhiều mức quản lý hiện hành; chọn đúng loại/backend thay vì mặc định luôn tạo OpenSearch Serverless. Chuẩn bị corpus chi tiết liên hệ D1-P30/P38.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
D2-P06 • Hybrid retrieval khi có product codes,"• Semantic + lexical
• Exact term
• Merge then select","1. Nhận query có exact terms
2. Chạy semantic và keyword retrieval
3. Hợp nhất / lọc candidates
4. Tạo câu trả lời từ context tốt",Vector-only retrieval làm mất bài đúng khi người dùng hỏi mã XR-4400 hoặc identifiers tương tự.,"Identify the requirement — dùng eval queries có codes/names để xác minh semantic-only retrieval bỏ sót exact matches, không kết luận chỉ từ một lỗi generator.","Retrieve both signals — dùng hybrid search được backend hỗ trợ: semantic branch tìm ý nghĩa, keyword branch giữ terms/mã chính xác.","Merge / select — hợp nhất, loại bản sao và áp filter; có thể rerank nếu cần nhưng chỉ thêm khi evidence cho thấy có ích.","Generate / verify — gửi context đã chọn cho FM, kiểm tra retrieval và final answer trên cả exact-code lẫn paraphrase queries, đo thêm latency/cost.",Sửa đúng tầng retrieval khi tài liệu đúng chưa được tìm. Hai tín hiệu hỗ trợ nhau nên không phải thay generator để xử lý mọi lỗi.,Larger context không tự tìm được đúng passage; fine-tuning generator không thay keyword search. Không nhầm hybrid search với chỉ reranking tập vector candidates.,HYBRID hỗ trợ phụ thuộc backend/config (ví dụ filterable text field); cần kiểm tra integration hiện hành trước triển khai.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/en_en/bedrock/latest/userguide/kb-test-config.html",14/09/2026
D2-P07 • Rerank trước chọn context cho RAG,"• Retrieve wider pool
• Reorder relevance
• Final top passages","1. Lấy candidate passages
2. Reranker chấm query–passage
3. Chọn context trong token budget
4. Generate và đo tác động",Passage đúng có trong kết quả retrieval nhưng không lên nhóm đầu được đưa cho model.,Candidate retrieval — lấy pool đủ rộng từ vector/hybrid search theo permissions; lưu vị trí của relevant passages để xác định vấn đề nằm ở ranking.,"Rerank — dùng model chấm relevance giữa query và các passages, sắp thứ tự mới trước khi cắt context.","Select — chọn top passages đủ evidence và vừa context budget, tránh nhồi trùng lặp; giữ metadata/citations.",Evaluate — so chất lượng answers/retrieval ranking trước-sau và cost/latency bước rerank; chỉ giữ thay đổi nếu đạt lợi ích cần thiết.,Reranking phải sau retrieval và trước chọn context cuối. Candidate không lấy được thì reranker không thể đưa lên đầu.,Không dùng reranking để thay ingestion/sync nguồn thiếu. Tăng k quá lớn có thể thêm chi phí; không giả định mọi câu hỏi đều cần bước này.,Reranking là lựa chọn phù hợp cho ordering problem; hỗ trợ model/API/backend cần đối chiếu. RAG có thể không cần custom pipeline riêng để thêm rerank nếu managed khả năng đã đủ.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
D2-P08 • Truy xuất cho câu hỏi nhiều ý,"• Rewrite / decompose
• Retrieve iteratively
• Combine evidence","1. Làm rõ hoặc tách câu hỏi
2. Retrieve từng phần
3. Đánh giá đủ evidence và tổng hợp
4. Trả lời có nguồn / giới hạn",Câu hỏi cần nhiều tài liệu hoặc thông tin từ bước trước để quyết định nên tìm gì tiếp.,"Rewrite / plan — giữ ý định gốc, giải tham chiếu từ context hợp lệ hoặc chia thành subquestions rõ ràng; ghi lại giả định quan trọng.",Retrieve — tìm evidence cho từng phần bằng cách phù hợp; agentic pattern có thể chọn query kế tiếp theo kết quả trước đó.,"Check sufficiency — xác định thiếu/mâu thuẫn, chỉ tìm thêm khi cần, hợp nhất passages không trùng và giữ nguồn của mỗi ý.","Answer — tổng hợp dựa evidence trong token budget; nếu chưa đủ thì nêu giới hạn hoặc cần làm rõ. Đo quality, call count, latency/cost và giới hạn số bước.","Task decomposition và retrieval dependencies giải vấn đề single-search không đủ, không chỉ tăng context vô hạn.",Query rewrite có thể đổi ý; nhiều bước không đảm bảo tốt hơn. Không để quá trình tìm kiếm tiếp diễn không có stopping condition.,Có thể dùng managed agentic retrieval hoặc custom orchestration theo khả năng hiện hành; không mặc định mọi câu hỏi đơn giản đều cần agent.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html",14/09/2026
D2-P09 • Chọn phương pháp trên customization spectrum,"• Facts vs behavior vs domain
• Weight change
• PEFT / full are parameter choices
• TEACHER → STUDENT WHEN SERVING IS TOO COSTLY","1. Xác định phần model còn thiếu
2. Thử phương pháp nhẹ phù hợp
3. Chọn mục tiêu và phạm vi tuning nếu cần
4. Kiểm tra nền tảng rồi đánh giá","Model cơ bản khá tốt nhưng cần thay đổi facts, format/style hoặc năng lực miền; phải chọn chiến lược không tốn quá mức.
Module Customize bổ sung distillation khi teacher đáp ứng quality nhưng inference quá chậm/đắt.","Diagnose — thiếu instructions rõ, thiếu current/private facts, thiếu consistent behavior hay thiếu domain patterns? Dùng examples/failure cases để xác định, không chỉ gắn nhãn “model kém”.",Try lightweight fit — prompt/examples cho task instruction; RAG cho thông tin riêng/cập nhật. Hai cách không đổi weights và có thể kết hợp.,"If training is justified — instruction tuning dùng labeled prompt-response; CPT dùng corpus miền không nhãn. PEFT/LoRA và full tuning là lựa chọn tham số cập nhật, có thể áp cho mục tiêu thích hợp; thử nhẹ hơn trước khi full nếu khả thi.
Nếu bottleneck là serving size/cost của teacher, cân nhắc distillation sang student thay vì tăng tiếp CPT.","Verify and evaluate — chọn Bedrock model/method đang hỗ trợ hoặc SageMaker khi cần kiểm soát rộng; bảo đảm data đúng, budget, eval set độc lập và cả serving cost của model sau adaptation.",Chẩn đoán gap đi trước chọn công cụ. Instruction vs CPT là mục tiêu/dataset; PEFT vs full là phạm vi parameter update nên không được trộn thành các nhánh loại trừ nhau.,Không fine-tune mỗi khi policy đổi nếu mục tiêu là facts mới; không dùng CPT thay SFT để học format chuẩn; PEFT không loại nhu cầu data QA hoặc base model khi inference.,"Mục lựa chọn giữ Task 2.1; module Customize bổ sung thực thi Task 2.2 tại D2-P29 và D2-P33…P38. Spectrum là bản đồ lựa chọn, không phải bắt buộc chạy toàn bộ phương pháp theo thứ tự. Chuẩn bị training data liên hệ D1.",2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/custom-model-fine-tuning.html
https://huggingface.co/docs/peft/package_reference/lora
https://skillbuilder.aws/learn/2QQTWU7W75/aws-ml-engineer-associate--customize-and-fine-tune-models/GCXKCRD7RD
https://docs.aws.amazon.com/bedrock/latest/userguide/model-distillation.html",15/09/2026
D2-P10 • Giảm cost/latency của chat có prompt lặp,"• Shared prefix caching
• Trim context
• Preserve quality","1. Đo token và latency baseline
2. Cache phần chung được hỗ trợ
3. Cắt context/output thừa
4. Đo lại chất lượng và chi phí","Chat assistant volume lớn gửi system prompt dài lặp lại; model hiện tại đã đạt quality, cần phản hồi nhanh hơn và giảm phí.","Baseline — ghi input/output token lengths, latency và quality trên queries đại diện; xác định prefix thật sự lặp, không phải nội dung thay đổi mỗi user.","Cache eligible prefix — giữ static instructions/context trước dynamic query, cấu hình implicit/explicit theo model/API; kiểm tra cache-read/write/hit fields và TTL.","Trim safely — bỏ instructions dư, chỉ giữ retrieved passages cần thiết và đặt output budget theo task; không xóa evidence quan trọng chỉ để giảm token.","Re-evaluate — so quality/failure cases, end-to-end latency và net cost gồm cache writes/misses; giữ cấu hình đạt cùng tiêu chí chất lượng.",Giảm xử lý lặp và token dư tác động mỗi request trong khi không đổi nhiệm vụ/model nếu chưa cần. Phải đo cache hit thực mới biết có lợi.,Chuyển interactive chatbot sang batch phá requirement. Prompt caching không lưu đáp án để mọi câu hỏi nhận cùng response; không được bảo đảm hit.,"Docs hỗ trợ cache tùy model/API và không áp với batch inference API. Fine-tuning để rút prompt là một lựa chọn nặng hơn, chỉ cân nhắc khi evidence/budget phù hợp.",2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-caching.html",14/09/2026
