MLA-C01 • DOMAIN 1,DỊCH VỤ & CÔNG CỤ,Collect/Store + Transform + Validate Data; Domain 1.,,,,,,,,,,,,,
76 mục • 16 cột,59 mục theo chủ đề Skill Builder,"1.1 Collect, ingest & store data",,,,,,,,,,,,,
Đọc cột B: keyword cần nhớ,17 mục bổ sung Domain 1,1.2 Transform & feature engineering,,,,,,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: cột O • Ví dụ tự xây dựng,1.3 Data integrity & preparation,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon S3,"• Scalability — Mở rộng
• Durability — Độ bền
• Availability — Khả dụng
• ML integration — Tích hợp
• Storage classes — Tối ưu chi phí","Amazon S3 is a managed object storage service that stores data as objects in buckets and exposes it through APIs. It provides scalable, durable storage for raw data, processed datasets and model artifacts, with storage classes for different access patterns. It is a shared data repository, rather than an attached block device optimized for a training instance's random disk I/O.","Amazon S3 là dịch vụ lưu trữ đối tượng được quản lý, lưu dữ liệu dưới dạng object trong bucket và cho phép truy cập qua API. Dịch vụ cung cấp khả năng mở rộng và lưu giữ dữ liệu bền vững cho dữ liệu thô, tập dữ liệu đã xử lý và artifact mô hình; các storage class đáp ứng những tần suất truy cập khác nhau. S3 đóng vai trò kho dữ liệu chung, khác với ổ đĩa khối gắn vào máy training để phục vụ đọc/ghi ngẫu nhiên.","Scalability: mở rộng kho dữ liệu mà không cấp phát từng volume.

Durability và availability: thiết kế lưu đối tượng bền vững, khả dụng; cần chọn storage class phù hợp.

ML integration: kho chung cho training, validation, model artifact và tài liệu RAG.

Storage classes: tối ưu theo tần suất truy cập và thời gian lưu.","Lưu object trong bucket, nhận diện bằng key; truy cập bằng API. Tổ chức raw/processed và metadata, dùng Glue/Athena để khám phá, xử lý hoặc truy vấn. Versioning lưu các phiên bản object khi được bật.","Data ingestion and storage: điểm đến batch/stream.

Model training and evaluation: lưu dataset và artifact theo phiên bản.

Integration: SageMaker, Glue, Firehose, Bedrock Knowledge Bases cùng truy cập dữ liệu.",Ảnh và log được đưa vào raw/; Glue làm sạch thành Parquet ở processed/; training đọc dataset đã chốt phiên bản. S3 giữ bản gốc để tái xử lý.,"Gợi ý chọn: kho object lớn, data lake, nhiều loại dữ liệu.

Không tự là NFS hoặc ổ đĩa. Độ trễ mạng, số request, retrieval fee và data transfer đều có thể ảnh hưởng thiết kế/chi phí. S3 không tự xử lý hay huấn luyện mô hình.",Dịch vụ,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/s3/",14/09/2026
S3 Intelligent-Tiering,"• Automatic tiering — Tự chuyển tầng
• Unknown access patterns — Khó đoán truy cập
• Cost optimization — Tối ưu chi phí",S3 Intelligent-Tiering is an Amazon S3 storage class that monitors object access and automatically moves eligible objects between access tiers to optimize storage cost. Applications continue using S3 APIs while the service manages tier placement. It suits changing or unpredictable access patterns; optional archive tiers trade immediate access for lower storage cost and require restoration.,"S3 Intelligent-Tiering là storage class của Amazon S3 theo dõi việc truy cập object và tự động chuyển các object đủ điều kiện giữa các tầng truy cập để tối ưu chi phí lưu trữ. Ứng dụng vẫn sử dụng S3 API, còn dịch vụ quản lý vị trí lưu ở từng tầng. Lựa chọn này phù hợp khi tần suất đọc dữ liệu thay đổi hoặc khó dự đoán; các archive tier tùy chọn giảm chi phí nhưng cần khôi phục dữ liệu trước khi đọc.",Theo dõi truy cập và chuyển object đủ điều kiện giữa các access tier để giảm chi phí lưu trữ. Các tier truy cập tức thời giữ khả năng đọc khi cần; archive tier tùy chọn dành cho dữ liệu ít dùng lâu dài.,"Ứng dụng vẫn dùng S3 API; dịch vụ quản lý tier của object. Có phí theo dõi và tự động hóa; điều kiện kích thước object, tier và thời gian lưu cần được xem trong cấu hình hiện hành.","Dataset có tần suất dùng thay đổi, khó lập lifecycle cố định; nhóm dữ liệu lúc mới tạo được đọc nhiều nhưng về sau đọc ít.",Dữ liệu train từ nhiều nhóm được tái dùng không đều; bật Intelligent-Tiering để giảm việc tự dự đoán thời điểm chuyển class cho từng nhóm.,Không đồng nghĩa luôn rẻ nhất. So sánh phí theo dõi với dung lượng và workload; archive tier tùy chọn cần restore. Khác lifecycle rule do người dùng tự đặt theo tuổi object.,Storage class,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html",14/09/2026
S3 Glacier storage classes,"• Archive — Lưu trữ lâu dài
• Instant / Flexible / Deep Archive
• Retrieval time — Thời gian lấy dữ liệu","S3 Glacier storage classes are Amazon S3 archive storage options for long-lived data that is accessed infrequently. Glacier Instant Retrieval supports immediate access, whereas Glacier Flexible Retrieval and Deep Archive require restoration before ordinary reads. They reduce storage cost by offering different retrieval-time, retrieval-fee and minimum-storage-duration trade-offs, which must fit the dataset's recovery and reuse requirements.","Các S3 Glacier storage class là những lựa chọn lưu trữ lâu dài của Amazon S3 dành cho dữ liệu ít được truy cập. Glacier Instant Retrieval cho phép đọc tức thời, trong khi Glacier Flexible Retrieval và Deep Archive yêu cầu khôi phục trước khi đọc thông thường. Chúng giảm chi phí lưu dữ liệu bằng những đánh đổi khác nhau về thời gian lấy lại dữ liệu, phí truy xuất và thời gian lưu tối thiểu; lựa chọn phải đáp ứng yêu cầu phục hồi và tái sử dụng dataset.",Giảm chi phí lưu lâu dài bằng cách đánh đổi yêu cầu truy xuất. Instant Retrieval vẫn đọc tức thời; Flexible Retrieval và Deep Archive phù hợp khi có thể chờ khôi phục. Mỗi class có retrieval fee và minimum storage duration khác nhau.,"Chọn class trực tiếp hoặc chuyển bằng lifecycle. Với tier cần restore, khởi tạo khôi phục và chờ trước khi pipeline đọc dữ liệu; đưa thời gian đó vào lịch tái huấn luyện.","Dataset lịch sử, bản gốc video ít đọc, artifact cũ hoặc bản sao cần giữ lâu. Chọn theo thời hạn cần lấy lại và tần suất truy cập thực tế.",Video nguồn giữ lâu được lưu class phù hợp; bản dữ liệu đang dùng cho một đợt training nằm ở tầng truy cập nhanh.,Không gom ba class thành một kiểu latency. Không dùng dữ liệu cần restore ngay trong training mà chưa khôi phục. Không mặc định Glacier Instant Retrieval rẻ hơn cho mọi video: cần tính cả truy xuất và thời gian lưu tối thiểu.,Storage class,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html",14/09/2026
Amazon EBS,"• High performance — Hiệu năng cao
• Persistent storage — Lưu trữ bền vững","Amazon EBS provides persistent block storage that attaches to a single Amazon EC2 instance and delivers the high random IOPS useful during gradient computation, and its data persists independently of the instance lifecycle.","Amazon EBS cung cấp dịch vụ lưu trữ dạng khối có khả năng lưu giữ dữ liệu lâu dài (persistent block storage), được gắn vào một máy chủ ảo Amazon EC2. Dịch vụ cung cấp số thao tác đọc/ghi ngẫu nhiên mỗi giây cao (high random IOPS), hữu ích cho việc truy cập dữ liệu trong quá trình tính gradient khi huấn luyện mô hình. Dữ liệu trên EBS tồn tại độc lập với vòng đời hoạt động của instance.","High performance: IOPS cao giúp đọc/ghi nhanh; throughput cao tăng tốc nạp và xử lý dữ liệu ML.

Persistent storage: stop/start EC2 vẫn giữ dữ liệu trên volume. Hai keyword này là hai benefit được nêu trực tiếp trong Skill Builder.

Tối ưu: chọn loại volume, dung lượng, IOPS và throughput theo workload.",Block volume gắn với EC2 trong cùng AZ. Để đọc tệp cần attach và mount filesystem trên instance; CLI/SDK quản lý volume không tự đọc nội dung tệp. Có thể snapshot để sao lưu và tạo volume mới.,"High-performance storage: dataset cần random I/O khi training.

Host pre-trained models: lưu artifact để inference instance nạp nhanh.

Copy and load: S3 làm nguồn, EBS làm volume làm việc.","Tải tập train từ S3 xuống EBS; job đọc nhiều mini-batch ngẫu nhiên qua các epoch. Sau khi stop rồi start EC2, dữ liệu EBS vẫn còn để tiếp tục công việc.","Stop/start khác terminate: DeleteOnTermination=true sẽ xóa volume khi terminate. Volume thuộc một AZ; cần quản lý dung lượng/IOPS riêng. Instance store là lưu trữ tạm. Muốn filesystem dùng chung nhiều máy, xem EFS hoặc FSx theo workload.

“Single instance” mô tả kiểu gắn volume thông thường; một số volume io1/io2 hỗ trợ Multi-Attach theo điều kiện dịch vụ. High random IOPS hỗ trợ I/O dữ liệu; CPU/GPU mới thực hiện phép tính gradient. Hiệu năng thực tế phụ thuộc loại volume, cấu hình IOPS/throughput và giới hạn của instance.",Dịch vụ,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/ebs/latest/userguide/what-is-ebs.html
https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/preserving-volumes-on-termination.html
https://docs.aws.amazon.com/ebs/latest/userguide/ebs-performance.html
https://docs.aws.amazon.com/ebs/latest/userguide/EBSFeatures.html
https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volumes-multi.html",14/09/2026
EBS gp3,"• General Purpose SSD
• Independent IOPS / throughput
• Price-performance balance","EBS gp3 is a general-purpose SSD-backed Amazon EBS volume type that provides persistent block storage for EC2 workloads. Storage capacity, provisioned IOPS and throughput can be configured separately within supported limits, so performance can be increased without buying capacity solely to obtain more I/O. It suits general working volumes, datasets and model-loading workloads that do not require io2-level characteristics.","EBS gp3 là loại volume Amazon EBS sử dụng SSD đa dụng, cung cấp lưu trữ dạng khối lâu dài cho workload EC2. Dung lượng, IOPS được cấp phát và throughput có thể cấu hình riêng trong giới hạn hỗ trợ, giúp tăng hiệu năng mà không phải mua thêm dung lượng chỉ để có thêm khả năng đọc/ghi. gp3 phù hợp với volume làm việc thông thường, dataset và nhu cầu nạp model chưa đòi hỏi đặc tính hiệu năng của io2.","Cung cấp SSD đa dụng, cho phép cấu hình dung lượng, IOPS và throughput theo giới hạn hỗ trợ. Tách điều chỉnh hiệu năng khỏi dung lượng giúp tránh tăng dung lượng chỉ để đạt I/O mong muốn.","Provision volume theo nhu cầu, theo dõi latency, queue và throughput; tăng cấu hình phù hợp khi bottleneck thực sự nằm ở volume. Kiểm tra đồng thời giới hạn EBS của instance.","Volume làm việc phổ thông, nạp model hoặc dataset với yêu cầu I/O vừa phải; điểm khởi đầu hợp lý khi chưa cần Provisioned IOPS ở mức cao.",Job đọc chậm nhưng volume chưa đầy: đối chiếu metric để tăng IOPS/throughput thay vì mặc định mua thêm dung lượng.,"gp3 không đáp ứng vô hạn và không mặc định tốt hơn io2 cho mọi tải. Khác gp2 ở cách gắn dung lượng với hiệu năng. Cân nhắc cả volume, instance và access pattern.",Loại volume,Domain 1,1.1,Lưu trữ,Bổ sung Domain 1,https://docs.aws.amazon.com/ebs/latest/userguide/general-purpose.html,14/09/2026
EBS io2,"• Provisioned IOPS SSD
• High random IOPS
• Low latency
• Critical workloads","EBS io2 is a Provisioned IOPS SSD volume type that provides persistent block storage for demanding workloads needing high random I/O performance and low latency. Users provision capacity and IOPS to match measured requirements, subject to volume and instance limits. It is appropriate for critical, I/O-intensive applications, including training workloads where repeated random data access is a demonstrated bottleneck.","EBS io2 là loại volume SSD Provisioned IOPS cung cấp lưu trữ khối lâu dài cho workload đòi hỏi hiệu năng đọc/ghi ngẫu nhiên cao và độ trễ thấp. Người dùng cấp phát dung lượng và IOPS theo nhu cầu đã đo, trong giới hạn của volume và instance. Dịch vụ phù hợp với ứng dụng quan trọng, sử dụng I/O nhiều, bao gồm workload training mà việc truy cập dữ liệu ngẫu nhiên lặp lại thực sự là điểm nghẽn.",IOPS được cấp phát cho tải giao dịch hoặc ML đòi hỏi đọc/ghi ngẫu nhiên mạnh và ổn định. io2 Block Express có thiết kế độ bền cao; phù hợp khi yêu cầu hiệu năng và độ tin cậy quan trọng hơn chi phí thấp nhất.,Chọn IOPS và dung lượng trong giới hạn volume/instance. Random read nhiều lần có thể hưởng lợi; kiểm tra latency và VolumeQueueLength để xác nhận nguyên nhân nghẽn.,Training thường xuyên truy cập record ngẫu nhiên; workload quan trọng cần low latency và IOPS cao; nạp model khi gp3 không đáp ứng yêu cầu đã đo.,Training shuffle trên dataset lớn gây hàng đợi I/O; thử io2 và đo thời gian chờ dữ liệu/GPU utilization trước và sau.,"Chi phí thường cần cân nhắc kỹ. Không sửa được bottleneck CPU, mạng ngoài EBS hoặc thuật toán đọc kém. Không suy ra mọi training job đều cần io2.",Loại volume,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/ebs/latest/userguide/provisioned-iops.html",14/09/2026
Amazon EFS,"• Scalable and performant
• High throughput
• Low-latency access
• Concurrent access
• Shared datasets","Amazon EFS is a managed, elastic file storage service that exposes a shared file system through NFS. Multiple supported clients can mount the same file system and access datasets, libraries or model artifacts concurrently, while storage capacity grows or shrinks with the data. It provides shared, scalable file access rather than a block volume assigned to one training instance; performance depends on configuration and workload.","Amazon EFS là dịch vụ lưu trữ tệp co giãn được quản lý, cung cấp filesystem dùng chung qua giao thức NFS. Nhiều client được hỗ trợ có thể mount cùng filesystem và đồng thời truy cập dataset, thư viện hoặc artifact mô hình, trong khi dung lượng tăng hoặc giảm theo dữ liệu. EFS cung cấp khả năng truy cập tệp dùng chung và mở rộng, khác với volume dạng khối dành cho một máy training; hiệu năng phụ thuộc cấu hình và workload.","Scalable and performant: filesystem co giãn dung lượng theo dữ liệu và cho nhiều client truy cập.

High throughput: hỗ trợ xử lý tệp song song.

Low-latency access: truy cập tệp chia sẻ phục vụ ứng dụng. Ba nhãn benefit này xuất hiện trong Skill Builder; kết quả thực tế phụ thuộc cấu hình và workload.","Dịch vụ filesystem được quản lý, truy cập qua NFSv4; EC2 và các client được hỗ trợ mount cùng filesystem. Dữ liệu tăng/giảm mà không phải cấp phát từng volume như EBS.","Concurrent access: nhiều EC2 cùng đọc/ghi.

Shared datasets: chia sẻ dataset, thư viện và model artifact, giảm nhu cầu sao chép riêng đến từng máy.",Nhiều worker đọc bộ dữ liệu đã xử lý từ cùng thư mục EFS; phiên bản dataset và quyền truy cập được quản lý để tránh ghi đè trong training.,"Cần NFS và dữ liệu dùng chung → nhớ EFS. Không phải mọi thao tác đều có cùng latency; storage/throughput mode và truy cập liên AZ ảnh hưởng chi phí, hiệu năng. Không dùng lời khẳng định EFS luôn nhanh/rẻ hơn EBS.",Dịch vụ,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://aws.amazon.com/efs/",14/09/2026
Amazon FSx,"• Managed file systems
• Workload-specific capabilities
• Lustre / ONTAP / Windows / OpenZFS","Amazon FSx is a family of managed file system services that provides the interfaces and data-management capabilities of established file systems. Its variants include Lustre, NetApp ONTAP, Windows File Server and OpenZFS, each with different protocols, deployment options and performance characteristics. Users choose the variant that matches their application, rather than assuming that every FSx file system has Lustre's parallel-training features.","Amazon FSx là họ dịch vụ filesystem được quản lý, cung cấp giao diện và các khả năng quản lý dữ liệu của những hệ thống tệp phổ biến. Các biến thể gồm Lustre, NetApp ONTAP, Windows File Server và OpenZFS, mỗi loại có giao thức, lựa chọn triển khai và đặc tính hiệu năng riêng. Người dùng chọn biến thể phù hợp ứng dụng; không nên mặc định mọi filesystem FSx đều có khả năng truy cập song song cho training như Lustre.","Cung cấp filesystem phổ biến dưới dạng dịch vụ được quản lý, giảm việc tự xây dựng và vận hành hệ thống tệp. Mỗi loại có protocol, khả năng dữ liệu và đặc tính hiệu năng riêng.","Trước tiên chọn filesystem theo ứng dụng và giao thức, rồi chọn deployment/capacity/performance. Trong phần ML của khóa, FSx for Lustre là trường hợp trọng tâm.","Ứng dụng cần semantics của một filesystem cụ thể: Lustre cho dữ liệu song song, Windows cho SMB, ONTAP cho hệ sinh thái NetApp, OpenZFS cho NFS/ZFS.",Pipeline training phân tán chọn FSx for Lustre; ứng dụng Windows hiện có dùng SMB sẽ đánh giá Windows File Server.,"FSx là họ dịch vụ. Không gán benefit của Lustre cho tất cả biến thể. Tích hợp S3, giao thức và cơ chế backup khác nhau giữa các loại.",Nhóm dịch vụ,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/en_us/fsx/",14/09/2026
Amazon FSx for Lustre,"• High performance
• Amazon S3 integration
• Distributed architecture
• Parallel access","Amazon FSx for Lustre is a managed parallel file system designed for high-performance workloads that need high throughput and concurrent file access across many compute instances. It is useful for distributed ML training and HPC, and can associate with Amazon S3 repositories to import data and export results. Scratch or persistent deployment choices and synchronization settings determine durability and data movement behavior.","Amazon FSx for Lustre là filesystem song song được quản lý, được thiết kế cho workload hiệu năng cao cần throughput lớn và truy cập tệp đồng thời từ nhiều compute instance. Dịch vụ phù hợp với training ML phân tán và tính toán hiệu năng cao; có thể liên kết kho dữ liệu Amazon S3 để nhập dữ liệu và xuất kết quả. Lựa chọn triển khai scratch hoặc persistent cùng cấu hình đồng bộ quyết định đặc tính lưu giữ và cách di chuyển dữ liệu.","High performance: thiết kế cho I/O lớn và latency thấp, có thể mở rộng đến mức IOPS cao với cấu hình phù hợp.

Amazon S3 integration: liên kết data repository S3 để nhập dữ liệu và xuất kết quả theo cấu hình.

Distributed architecture: nhiều compute node truy cập song song phục vụ training phân tán.",Mount Lustre trên các compute instance. Tạo data repository association với S3 khi cần; dữ liệu có thể được tải khi truy cập và đồng bộ/xuất theo chính sách hoặc task. Chọn scratch/persistent deployment phù hợp.,"High-performance computing và large-scale model training; dataset lớn, nhiều worker và yêu cầu shared throughput cao; cần giao diện filesystem trong khi bản gốc nằm trên S3.",GPU cluster cùng đọc shard của dataset trên Lustre đã liên kết S3; đầu ra được xuất lại S3 để lưu lâu dài và filesystem training được quản lý theo vòng đời job.,"Scratch không có cùng đặc tính bền vững như persistent. Liên kết S3 không có nghĩa mọi thay đổi tự đồng bộ hai chiều ngay lập tức. Cần cấu hình import/export, quyền, network và sizing; cân nhắc chi phí vận hành trong thời gian không training.",Dịch vụ,Domain 1,1.1,Lưu trữ,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/fsx/latest/LustreGuide/what-is.html",14/09/2026
Amazon FSx for NetApp ONTAP,"• ONTAP
• NFS / SMB / iSCSI
• Snapshots
• Data tiering","Amazon FSx for NetApp ONTAP is a managed storage service that provides NetApp ONTAP data-management capabilities and supported file and block access through NFS, SMB and iSCSI. It offers features such as snapshots and policy-based data tiering, enabling applications to retain ONTAP-compatible access and workflows. It suits enterprise datasets and existing NetApp environments that need managed AWS storage.","Amazon FSx for NetApp ONTAP là dịch vụ lưu trữ được quản lý cung cấp các khả năng quản trị dữ liệu NetApp ONTAP và truy cập dạng tệp hoặc khối qua NFS, SMB và iSCSI được hỗ trợ. Dịch vụ có những tính năng như snapshot và phân tầng dữ liệu theo chính sách, giúp ứng dụng tiếp tục sử dụng giao diện và quy trình tương thích ONTAP. Lựa chọn này phù hợp với dữ liệu doanh nghiệp và môi trường NetApp hiện có cần lưu trữ được quản lý trên AWS.","Giữ khả năng quản trị dữ liệu ONTAP trong dịch vụ được quản lý. Hỗ trợ nhiều giao thức, snapshot và cơ chế tiering phù hợp workload; hữu ích khi tái sử dụng hệ thống dữ liệu NetApp hiện có.","Tạo filesystem và volume ONTAP, cấu hình giao thức và quyền cho client. Dữ liệu thường xuyên truy cập nằm ở tầng hiệu năng, dữ liệu lạnh có thể được tier theo chính sách.","Nguồn dữ liệu enterprise đang dùng NetApp, ứng dụng cần giao thức tương thích và các khả năng quản lý dữ liệu ONTAP.","Tổ chức dùng NFS cho pipeline Linux và SMB cho ứng dụng khác, cần khai thác chung tài sản dữ liệu trên ONTAP.","Không đồng nghĩa FSx for Lustre. Giao thức, tiering policy và yêu cầu ứng dụng phải được đánh giá; dữ liệu được tier có thể ảnh hưởng latency truy cập lại.",Dịch vụ,Domain 1,1.1,Lưu trữ,Bổ sung Domain 1,https://aws.amazon.com/fsx/netapp-ontap/,14/09/2026
