MLA-C01 • DOMAIN 2,GHÉP TÌNH HUỐNG,Choose • Train • Customize • Evaluate,,,,,,,,,
113 mục • 12 cột,Tình huống: C:D • Đáp án: E,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,
Keyword cần nhớ: cột B,Giải thích: F • Bẫy: G,Analyze / Evaluate: +34 mục,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: K • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
D2-M01 • Có sẵn API nhận diện ảnh,"• PRE-TRAINED API
• NO CUSTOM LABELS
• FAST TIME TO VALUE","A photo application needs common object and scene detection, has no labeled training set, and accepts the quality of an existing API.",Ứng dụng ảnh cần nhận diện vật thể/bối cảnh phổ biến; chưa có tập ảnh gán nhãn; chất lượng API có sẵn đạt yêu cầu.,Amazon Rekognition — pretrained features.,"Task đã được dịch vụ hỗ trợ; gọi API giúp triển khai nhanh và giảm công việc xây dựng, huấn luyện, vận hành mô hình. Kiểm thử trên ảnh thực tế trước khi chọn.",Custom Labels cần dữ liệu tùy chỉnh; tự train từ đầu tăng công sức khi không có yêu cầu đặc thù. Bedrock không phải lựa chọn mặc định chỉ vì dữ liệu là ảnh.,D2-P01; có API phù hợp + đạt chất lượng → managed AI service.,2.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
D2-M02 • Sentiment cho startup,"• SENTIMENT ANALYSIS
• LIMITED ML EXPERTISE
• ONE-MONTH DEADLINE",A startup needs sentiment analysis within a month and has little ML expertise; the managed API meets its language and accuracy requirements.,"Startup cần phân tích sắc thái trong một tháng, ít chuyên gia ML; API đáp ứng ngôn ngữ và độ chính xác cần thiết.",Amazon Comprehend.,"Dùng khả năng NLP có sẵn giúp đạt thời gian triển khai. Vẫn cần đánh giá dữ liệu miền riêng, hỗ trợ ngôn ngữ, chi phí và yêu cầu tích hợp.",Tự xây mô hình trên EC2 không tận dụng được lợi thế thời gian. Fine-tune FM không mặc nhiên cần thiết cho một task sentiment được API đáp ứng.,D2-P01; đánh giá task-fit trước build versus buy.,2.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
D2-M03 • Dự đoán vỡ nợ từ bảng,"• LABELED TABULAR DATA
• CLASSIFICATION
• INTERPRETABILITY",A bank has labeled tabular loan records and needs default predictions with understandable contributing factors.,"Ngân hàng có hồ sơ khoản vay dạng bảng, nhãn vỡ nợ và cần giải thích các yếu tố dự đoán.","Traditional supervised classification; bắt đầu với baseline phù hợp như logistic regression hoặc cây nhỏ, rồi so sánh ứng viên.","Đầu ra là lớp hoặc xác suất vỡ nợ, không phải nội dung mới. Đánh giá chất lượng và khả năng giải thích trên dữ liệu đại diện; mô hình phức tạp hơn cần lợi ích được chứng minh.",GenAI không tự động tốt hơn chỉ vì mới. Không kết luận mọi traditional ML đều dễ giải thích; mô hình cây ensemble lớn hoặc neural network có thể khó giải thích.,D2-P01; label rời rạc → classification; explainability là tiêu chí chọn.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
D2-M04 • Dự đoán số và chia nhóm,"• CONTINUOUS TARGET
• UNLABELED GROUPS
• REGRESSION VS CLUSTERING","Choose an approach for predicting a numeric house price, then for grouping customers without segment labels.",Chọn cách dự đoán giá nhà dạng số; sau đó chọn cách nhóm khách hàng chưa có nhãn phân khúc.,Giá nhà → regression. Nhóm không có nhãn → clustering.,Regression học quan hệ với mục tiêu số; clustering tìm cấu trúc tương đồng trong dữ liệu không có nhãn mục tiêu. Cần định nghĩa thước đo phù hợp cho từng task.,Classification dự đoán lớp đã định nghĩa; không dùng nhãn regression cho mọi đầu ra số vì mã lớp cũng có thể được biểu diễn bằng số.,"So sánh Classification, Regression và Clustering trong Thuat ngu D2.",2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/aws-certification/latest/machine-learning-engineer-associate-01/machine-learning-engineer-associate-01-domain2.html",14/09/2026
D2-M05 • Chuỗi dịch lời nói,"• SPEECH TO TEXT
• TRANSLATE TEXT
• TEXT TO SPEECH",Convert spoken English into spoken Vietnamese using managed AI services.,Chuyển lời nói tiếng Anh thành lời nói tiếng Việt bằng dịch vụ AI quản lý.,"Amazon Transcribe → Amazon Translate → Amazon Polly, nếu ngôn ngữ/giọng đọc yêu cầu được hỗ trợ.",Translate xử lý văn bản nên cần transcript trước; Polly cần văn bản ngôn ngữ đích để tổng hợp âm thanh sau cùng.,Polly không nhận dạng lời nói; Transcribe không thay Translate. Kiểm tra danh sách ngôn ngữ và voice thực tế trước khi triển khai.,D2-P02; nghe → chữ → dịch chữ → phát âm.,2.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
D2-M06 • Tài liệu scan đa ngôn ngữ,"• EXTRACT FORMS AND TABLES
• TRANSLATION
• NLP INSIGHTS",Analyze sentiment from scanned customer feedback in multiple languages.,Phân tích sắc thái từ phản hồi khách hàng dạng scan và có nhiều ngôn ngữ.,Textract → Translate khi cần → Comprehend.,Đầu tiên trích văn bản/cấu trúc từ ảnh tài liệu; chuẩn hóa ngôn ngữ nếu pipeline yêu cầu; sau đó phân tích NLP. Giữ liên kết với tài liệu gốc để kiểm tra lỗi OCR.,Comprehend không thay bước OCR cho scan. Translate không phải lúc nào cũng bắt buộc nếu ngôn ngữ đã được Comprehend hỗ trợ và không cần chuẩn hóa.,D2-P03; trích xuất trước phân tích; dịch là bước có điều kiện.,2.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
D2-M07 • Ai đang nói trong audio,"• SPEAKER DIARIZATION
• SPEAKER LABELS
• NOT REAL-WORLD IDENTITY",A call transcript must distinguish speaker turns without identifying the callers by their real names.,"Transcript cuộc gọi cần phân biệt lượt nói của các người nói, không cần xác minh tên thật.",Amazon Transcribe với speaker diarization.,Diarization gán nhãn người nói trong transcript để theo dõi ai nói đoạn nào theo cụm giọng. Nhãn speaker không tự xác thực danh tính con người.,Không đồng nhất speaker labels với biometric identity verification. Polly tạo giọng nói đầu ra; không phân tách người nói trong audio đầu vào.,Amazon Transcribe — benefits và caveat trong Dich vu D2.,2.1,Bổ sung Domain 2,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/transcribe/latest/dg/diarization.html",14/09/2026
D2-M08 • Recommendation có dữ liệu riêng,"• PERSONALIZED RECOMMENDATIONS
• USER INTERACTIONS
• CUSTOM DATA REQUIRED",A retailer wants product recommendations based on its users' interaction history.,Nhà bán lẻ muốn gợi ý sản phẩm dựa trên lịch sử tương tác của chính người dùng.,"Amazon Personalize, với dữ liệu và cấu hình phù hợp cho use case.",Đây là dịch vụ quản lý nhưng vẫn sử dụng dữ liệu tương tác và các dữ liệu item/user phù hợp để tạo cá nhân hóa. Managed không có nghĩa mọi trường hợp đều không cần dữ liệu huấn luyện.,Không áp dụng tuyệt đối câu “AWS AI services require no training data”. API nhận diện ảnh hoặc sentiment pretrained khác với một hệ thống recommendation cá nhân hóa.,D2-P01; managed service ≠ zero customer data.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/personalize/latest/dg/what-is-personalize.html",14/09/2026
D2-M09 • Chọn FM đáp ứng yêu cầu,"• TASK AND MODALITY
• REPRESENTATIVE EVALUATION
• QUALITY–LATENCY–COST",Several foundation models are available; choose one for a customer application with an explicit quality target and latency budget.,Có nhiều FM; cần chọn cho ứng dụng có ngưỡng chất lượng và giới hạn độ trễ cụ thể.,Shortlist đúng task/modality → đánh giá dữ liệu thực tế → đo latency và cost → chọn model đáp ứng tiêu chí với chi phí phù hợp.,"Context window, ngôn ngữ, input/output modality và customization là điều kiện lọc; chất lượng phải kiểm chứng bằng prompt đại diện. Đo độ trễ đầu-cuối và chi phí workload, không chỉ giá một token.","Không chọn model lớn nhất, tên nổi tiếng nhất hoặc leaderboard cao nhất mà bỏ qua tiêu chí riêng. Model nhỏ chỉ là ứng viên tốt nếu vẫn đạt chất lượng.","D2-P04; satisfy requirements first, optimize cost next.",2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/evaluation.html
https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html",14/09/2026
D2-M10 • Đánh giá câu trả lời mở,"• HUMAN JUDGMENT
• RUBRIC
• LLM-AS-A-JUDGE","Open-ended responses must be assessed for usefulness and style, beyond a single exact-match score.",Câu trả lời mở cần đánh giá độ hữu ích và phong cách; exact match đơn lẻ không đủ.,Dùng rubric rõ ràng; human evaluation và/hoặc LLM-as-a-judge được hiệu chuẩn cùng các kiểm tra tự động phù hợp.,"Người đánh giá giúp xem sắc thái và tiêu chí chủ quan; judge model giúp tăng quy mô. Cần mẫu đại diện, hướng dẫn chấm nhất quán và kiểm tra mức đồng thuận với con người.",LLM judge không phải ground truth tuyệt đối; có thể thiên lệch theo độ dài/phong cách/model. Không suy từ điểm trung bình rằng mọi nhóm yêu cầu đều đạt.,D2-P04; chọn phương pháp đánh giá phù hợp đầu ra.,2.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/evaluation.html",14/09/2026
