MLA-C01 • DOMAIN 3,GHÉP TÌNH HUỐNG,"Manage Deployment Infrastructure
Provision and Configure Resources
Automated Orchestration and CI/CD",,,,,,,,,
127 mục • 12 cột,Tình huống: C:D • Đáp án: E,Task 3.1 • 3.2 • 3.3,,,,,,,,,
Keyword cần nhớ: cột B,Giải thích: F • Bẫy: G,Mẫu ôn tập từ 3 module Domain 3,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: K • Có ghi phạm vi,Ghi chú đối chiếu AWS nằm trong nội dung.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
"D3-M01 — Traffic đều, latency chặt",sustained traffic • consistent low latency,An online recommendation service has sustained traffic and requires consistently low response latency.,"Dịch vụ gợi ý trực tuyến có tải liên tục, cần độ trễ thấp ổn định.",SageMaker Real-time Inference,"Endpoint có capacity chạy sẵn, chọn được compute và scale theo tải; phù hợp ứng dụng phải nhận prediction ngay. Phải benchmark và duy trì capacity đủ.",Serverless on-demand có cold start; Async/Batch không đáp ứng yêu cầu response ngay. Không dựa vào nhánh sơ đồ tương tác bị nhầm trong bài học.,D3-P04 • sustained + low consistent latency → real-time.,3.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-M02 — Tải thưa và model nhỏ,idle periods • intermittent • tolerate cold start,A small CPU model is called occasionally and can tolerate startup delays after idle periods.,"Model CPU nhỏ được gọi thỉnh thoảng, chấp nhận chậm hơn sau thời gian idle.",SageMaker Serverless Inference,"Tự cấp compute theo request và scale zero, giảm giữ fleet idle. Chọn memory/concurrency phù hợp model và quota.",Real-time có chi phí capacity nền; không chọn serverless nếu model cần GPU hoặc tính năng bị loại trừ.,D3-P04 • intermittent + idle + compatible model → serverless.,3.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
"D3-M03 — File lớn, xử lý vài phút",large payload • several minutes • result later,Individual requests contain large files and take several minutes; results can be delivered later.,"Từng request có file lớn và chạy vài phút, kết quả có thể trả sau.",SageMaker Asynchronous Inference,Dùng input S3 và queue để xử lý request dài rồi ghi output. Bài học nêu 1 GB/1 giờ là giới hạn của lựa chọn này.,"Real-time/serverless synchronous có timeout ngắn hơn; Batch hợp dataset offline sẵn trước, không phải lựa chọn duy nhất cho mỗi request đến riêng lẻ.",D3-P05 • S3 input → queue → S3 output.,3.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-M04 — Chấm điểm toàn bộ mỗi đêm,offline • full dataset • nightly job,Score a complete customer dataset overnight without keeping a serving endpoint running.,"Chấm điểm toàn bộ khách hàng ban đêm, không duy trì endpoint.",SageMaker Batch Transform + lịch/orchestrator,"Job đọc dataset sẵn, cấp compute trong vòng đời job và ghi dự đoán; không cần API phục vụ tương tác.",Không cần CreateEndpoint; Batch Transform không tự có lịch hàng đêm và không phải Training job.,D3-P06 • dataset → transform job → output.,3.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-M05 — Serverless nhưng cold start không ổn,predictable bursts • warm requests,A compatible serverless model has predictable busy periods and must avoid cold starts for a planned concurrency level.,"Model phù hợp serverless có giờ bận dự đoán được, cần tránh cold start trong mức đồng thời dự kiến.",Serverless Provisioned Concurrency,Giữ một số execution capacity warm để đáp ứng nhanh hơn trong mức được cấp; có thể lên lịch/scale theo khả năng hỗ trợ.,Không phải Bedrock Provisioned Throughput. Request vượt warm capacity có thể cần mở rộng; vẫn có giới hạn tính năng và chi phí giữ warm.,"Warm concurrency phải được sizing theo tải, không chỉ bật là đủ.",3.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-M06 — Tải burst nhưng bắt buộc GPU,bursty traffic • GPU required,"Traffic is intermittent, but the model requires a GPU and strict interactive latency.",Tải ngắt quãng nhưng model cần GPU và latency tương tác chặt.,Real-time GPU endpoint với capacity/scaling phù hợp,Ràng buộc GPU và latency quan trọng hơn riêng keyword bursty. Tính chi phí idle và có kế hoạch warm capacity trước tải.,SageMaker Serverless hiện không hỗ trợ GPU; không áp quy tắc 'unpredictable = serverless' cho mọi trường hợp.,D3-P04 • kiểm tra constraints trước tối ưu idle cost.,3.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ
https://docs.aws.amazon.com/sagemaker/latest/dg/serverless-endpoints.html",15/09/2026
D3-M07 — Hai bước nào chưa đủ tạo endpoint,model artifact • resource creation,A team has uploaded model weights and called CreateModel. Can clients invoke a live endpoint now?,"Đã upload trọng số và gọi CreateModel, client đã có endpoint để gọi chưa?",Chưa; cần EndpointConfig → CreateEndpoint → InService,CreateModel chỉ khai báo tài sản và cấu hình model resource. Hosting infrastructure được cấp khi tạo endpoint theo endpoint config.,Đăng ký vào Model Registry cũng chưa tạo live service; đừng nhầm CreateModel với training.,D3-P03 • Model → Config → Endpoint → test.,3.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
