MLA-C01 • DOMAIN 4,GHÉP TÌNH HUỐNG,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,
116 mục • 12 cột,Tình huống: C:D • Đáp án: E,Task 4.1 + 4.2 + 4.3,,,,,,,,,
Keyword cần nhớ: cột B,Giải thích: F • Bẫy: G,3 module • Có phần mở rộng GenAI,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: K • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,
Key / Mẫu ghép,Keyword nhận diện,Situation / Prompt (EN),Tình huống (VI),Đáp án / Ghép phù hợp,Vì sao chọn,Phân biệt / Phương án nhiễu,Liên hệ quy trình / Điểm nhớ,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
D4-M01 — Endpoint khỏe nhưng doanh thu giảm,HTTP 200 • KPI decline • silent failure,"The recommendation endpoint remains fast and available, but conversions fall steadily. What monitoring layer is missing?","Endpoint gợi ý vẫn nhanh và sẵn sàng, nhưng tỷ lệ mua hàng giảm dần. Đang thiếu lớp giám sát nào?",Business KPI monitoring kết hợp model quality,"Hạ tầng khỏe không chứng minh gợi ý hữu ích. Theo dõi conversion/engagement cùng outcome và quality, rồi điều tra traffic/product/model changes.",Không tăng instance chỉ vì KPI giảm; không dùng latency làm proxy cho chất lượng gợi ý.,"D4-P01, P18 • business + quality + infrastructure",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M02 — Thiếu cột và kiểu dữ liệu sai,missing column • unexpected type,Production input loses a required column after an upstream form change. Which checks should detect this first?,Input production mất cột bắt buộc sau khi form upstream đổi. Kiểm tra nào phát hiện trước?,Schema/type validation trong data quality monitoring,Validation tại pipeline stage bắt lỗi contract trước khi model nhận dữ liệu; record/missing-rate metrics giúp định lượng phạm vi.,Không cần chờ ground truth hoặc SHAP; retraining không sửa contract input bị hỏng.,"D4-P02, P08 • validate before inference",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
"D4-M03 — Phân phối feature đổi, chưa có nhãn",distribution shift • no ground truth,"Feature distributions differ from training data, but outcomes will arrive next week. What can be monitored now?","Phân phối feature khác training, nhưng tuần sau mới có outcome. Giám sát gì ngay được?",Data quality drift bằng statistics/baseline và kiểm định phù hợp,Input statistics không cần nhãn. Cảnh báo feature lệch và giữ prediction để sau đó đo model quality bằng labels.,Chưa đủ để kết luận accuracy giảm hoặc concept drift; confidence không thay nhãn thật.,"D4-P02, P03 • input drift now, labeled quality later",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M04 — Accuracy suy giảm sau ghép nhãn,predictions versus true labels,"After matching predictions with resolved ticket labels, the model's accuracy drops below its validated target. Which drift is observed?","Sau ghép prediction với nhãn ticket đã xử lý, accuracy xuống dưới mục tiêu. Đây là drift nào?",Model quality drift,Đã có ground truth và metric đo sai lệch prediction–outcome; kiểm tra coverage/label quality rồi phân tích slices để tìm nguyên nhân.,Data drift có thể là nguyên nhân nhưng triệu chứng được đo ở đây là predictive quality; scale không sửa mapping model.,"D4-P03, P09 • evaluate actual outcomes",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M05 — Nhãn thực tế đến muộn,delayed outcome • unique ID,A fraud outcome becomes known days after prediction. How should the team compute trustworthy production quality?,Kết quả gian lận chỉ biết nhiều ngày sau prediction. Cách tính chất lượng production đáng tin?,Giữ prediction theo inference ID; ingest labels; join cohort đủ nhãn rồi tính metrics,"Unique ID ghép đúng request, timestamp/window phản ánh label lag, version xác định model được đánh giá; theo dõi cả label coverage.",Không đánh record chưa nhãn là negative hoặc lấy prediction do model mới chạy lại để thay kết quả cũ.,D4-P03 • capture → delayed labels → join → score,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M06 — Accuracy tổng che lỗi nhóm nhỏ,overall metric stable • weak segment,Overall accuracy is stable while the model performs poorly for a new product category. What should be added?,Accuracy tổng ổn nhưng model kém ở loại sản phẩm mới. Cần thêm gì?,Slice/subpopulation metrics kèm sample counts,Tổng số có thể bị nhóm lớn chi phối; metric theo category phát hiện suy giảm cục bộ và hướng investigation.,Không kết luận nhóm nhỏ kém chắc chắn từ vài mẫu; cần đủ nhãn và đánh giá uncertainty.,"D4-P03, P08 • slice before diagnosis",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M07 — Fairness gap tăng,group disparity • equal opportunity,True-positive rates diverge across relevant groups after deployment. Which monitoring and response fit?,True-positive rate giữa các nhóm liên quan chênh nhau hơn sau triển khai. Giám sát/xử lý phù hợp?,Bias drift monitoring → so baseline → investigate/mitigate → đánh giá lại,TPR gap là dấu hiệu fairness theo định nghĩa equal opportunity; cần nhóm/label đủ và baseline tương ứng.,Balanced sample counts hay accuracy tổng không bảo đảm fairness. Mitigation phải kiểm tác động lên các nhóm khác.,D4-P04 • group metric + policy context,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M08 — Nhóm mới chưa có trong training,new population • representation gap,A third group appears in production although training contained only two groups. Is this alone proof that bias has increased?,Production có nhóm thứ ba chưa xuất hiện trong training. Riêng dấu hiệu này đã chứng minh bias tăng chưa?,Population/data shift và rủi ro bias; cần đánh giá theo nhóm,"Trong bài hình minh họa đặt ở bias drift. Về suy luận kỹ thuật, nhóm mới chỉ ra thiếu representation; dùng fairness/performance metrics để xác nhận tác động.",Không máy móc đồng nhất nhóm C mới với bias đã được đo; cũng không bỏ qua rủi ro chỉ vì accuracy tổng chưa giảm.,"D4-P02, P04 • distinguish observed shift from fairness conclusion",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M09 — Feature quan trọng đảo thứ hạng,SHAP ranking change • early warning,"Ticket length replaces keyword presence as the most influential feature, while accuracy has not yet fallen. What is the signal?","Ticket length thay keyword presence thành feature ảnh hưởng nhất, accuracy chưa giảm. Đây là tín hiệu gì?",Feature attribution drift,So SHAP/statistics/ranking với explanation baseline để nhận ra behavior thay đổi trước khi có quality loss rõ.,Không chứng minh weights đã bị sửa hoặc concept drift chắc chắn; input distribution cũng ảnh hưởng attribution.,D4-P05 • explanations can change before accuracy,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-M10 — Quan hệ input–target đổi,same inputs • new outcomes • P(y|x),"For similar customer features, churn behavior changes after a pricing-policy shift. Which concept best describes this?","Với feature khách hàng tương tự, hành vi churn đổi sau chính sách giá. Khái niệm phù hợp nhất?",Concept drift,Quan hệ giữa input và target không còn giống lịch sử; cần labeled evaluation và ngữ cảnh để xác nhận và cập nhật model.,Schema hợp lệ không loại trừ concept drift; không gọi mọi thay đổi P(x) là P(y|x) đổi.,"D4-P05, P09 • changed relationship",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
