MLA-C01 • DOMAIN 3,DỊCH VỤ & CÔNG CỤ,"Manage Deployment Infrastructure
Provision and Configure Resources
Automated Orchestration and CI/CD",,,,,,,,,,,,,
69 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 3.1 • 3.2 • 3.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / Ví dụ / Điều kiện,Phạm vi: 3 module Domain 3,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Ghi chú đối chiếu AWS nằm trong nội dung.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon SageMaker AI — Managed Hosting,managed endpoint • infrastructure abstraction,"Amazon SageMaker AI managed hosting deploys trained models on AWS-operated serving infrastructure using compatible model artifacts, inference code and containers. Users choose an inference option and configure resources, access, scaling and monitoring, while the service manages the underlying hosting workflow. It reduces the need to build a serving platform from scratch, but production readiness still depends on model validation, capacity planning and operational configuration.","Managed hosting của Amazon SageMaker AI triển khai model đã training trên hạ tầng phục vụ do AWS vận hành, sử dụng artifact, mã inference và container tương thích. Người dùng chọn kiểu inference, cấu hình tài nguyên, quyền, scaling, monitoring, còn dịch vụ quản lý workflow hosting bên dưới. Khả năng này giảm nhu cầu xây platform serving từ đầu, nhưng mức sẵn sàng production vẫn phụ thuộc kiểm định model, lập kế hoạch capacity và cấu hình vận hành.","Giảm công việc cấp máy, phân phối request và tích hợp triển khai; hỗ trợ nhiều kiểu inference, framework và cơ chế theo dõi/scale. Nhóm tập trung hơn vào model, cấu hình và yêu cầu ứng dụng.",Artifact + image → model resource → cấu hình inference → endpoint hoặc job → kiểm thử/giám sát.,Model tùy chỉnh cần hạ tầng ML chuyên dụng với ít vận hành hơn tự xây cluster.,Triển khai model gợi ý và cấu hình tự tăng số instance theo tải.,"Vẫn cần chọn sizing, IAM, network, policy scale và vận hành model; không mặc định rẻ hơn mọi phương án EKS/ECS.",Nền tảng ML / hosting,Domain 3,3.1,Deployment target,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
SageMaker Real-time Inference,persistent capacity • low latency • sustained traffic,"SageMaker Real-time Inference provides a persistent managed endpoint that processes online prediction requests using provisioned serving instances. It is designed for workloads requiring low, consistent response latency or sustained throughput, with configurable instance type, capacity and supported scaling policies. Applications receive predictions through a synchronous request path, while idle capacity still incurs cost and actual latency depends on model execution, overhead and load.","SageMaker Real-time Inference cung cấp endpoint được quản lý có tài nguyên hoạt động liên tục để xử lý request dự đoán trực tuyến bằng các serving instance đã cấp phát. Lựa chọn được thiết kế cho workload cần latency thấp, ổn định hoặc throughput liên tục, với loại instance, capacity và chính sách scaling được hỗ trợ có thể cấu hình. Ứng dụng nhận dự đoán qua luồng request đồng bộ; capacity idle vẫn có chi phí, còn latency thực tế phụ thuộc model, overhead và tải.","Phản hồi nhanh và ổn định khi capacity đủ; chọn loại/số instance, hỗ trợ nhu cầu GPU và các cấu hình serving phức tạp tùy mode. Phù hợp ứng dụng cần prediction ngay trong request.",CreateModel → EndpointConfig → Endpoint → InService → InvokeEndpoint; thêm policy scale và metrics.,Traffic liên tục hoặc yêu cầu latency chặt dù traffic biến động.,Gợi ý sản phẩm dưới 200 ms trong walkthrough; phải xác thực ở mức tải thực tế.,Instance idle vẫn có chi phí. Số payload theo bài học/API là 6 MB trong khi overview ghi 25 MB: xem thuật ngữ 'Inference limits — source differences'.,Kiểu hosting SageMaker,Domain 3,3.1,Inference,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
SageMaker Serverless Inference,no instance management • scale to zero • pay per use,"SageMaker Serverless Inference automatically provisions and scales serving compute for compatible models without requiring users to choose instance types or manage ordinary instance-scaling policies. Users configure memory and maximum concurrency, and on-demand capacity can scale to zero during idle periods. It fits intermittent traffic that tolerates cold starts; optional Provisioned Concurrency keeps selected capacity warm, but adds cost and does not remove feature or resource limits.","SageMaker Serverless Inference tự cấp phát, mở rộng compute phục vụ model tương thích mà người dùng không chọn loại instance hay quản lý chính sách scale instance thông thường. Người dùng cấu hình bộ nhớ và concurrency tối đa; capacity on-demand có thể về zero khi idle. Lựa chọn phù hợp với tải ngắt quãng chịu được cold start; Provisioned Concurrency tùy chọn giữ một phần capacity warm, nhưng thêm chi phí và không xóa giới hạn tài nguyên, tính năng.",Giảm quản lý instance/scaling policies và tránh giữ compute idle theo chế độ on-demand; memory và max concurrency là các điều khiển chính. Provisioned Concurrency có thể giữ warm khi cần.,Tạo model → ServerlessConfig với memory/max concurrency → endpoint → gọi request; cân nhắc warm capacity.,"Model nhỏ, traffic thưa/ngắt quãng, có thể chịu cold start.",Phân loại tài liệu được gọi vài lần mỗi giờ.,"Theo tài liệu: 1–6 GB RAM; không hỗ trợ GPU, VPC configuration, MME, data capture và inference pipelines. 4 MB/60 giây; giữ warm có thêm phí.",Kiểu hosting SageMaker,Domain 3,3.1,Inference,Skill Builder,"https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ
https://docs.aws.amazon.com/sagemaker/latest/dg/serverless-endpoints.html",15/09/2026
SageMaker Asynchronous Inference,large payload • long processing • managed queue,"SageMaker Asynchronous Inference is a managed endpoint option that queues individual inference requests and delivers results later through S3. Applications submit an S3 input location, the service processes the queued data, and outputs or errors are written to configured storage. It supports larger payloads and longer processing than ordinary synchronous endpoints and can scale to zero with suitable policies when work is absent.","SageMaker Asynchronous Inference là lựa chọn endpoint được quản lý xếp hàng từng request inference và giao kết quả sau qua S3. Ứng dụng gửi vị trí input S3, dịch vụ xử lý dữ liệu trong queue rồi ghi output hoặc lỗi đến nơi lưu đã cấu hình. Lựa chọn hỗ trợ payload lớn, thời gian xử lý dài hơn endpoint đồng bộ thông thường và có thể scale về zero bằng chính sách phù hợp khi không có công việc.","Hỗ trợ request lớn/đòi xử lý lâu, tách việc nhận request khỏi hoàn tất prediction; có thể scale về zero để tiết kiệm khi không có việc nếu policy phù hợp.",Upload input S3 → InvokeEndpointAsync với URI → queue → model xử lý → S3 output; ứng dụng lấy kết quả khi sẵn.,Xử lý từng yêu cầu lớn hoặc kéo dài mà không cần phản hồi ngay.,"Phân tích media/file lớn trong vài phút, giới hạn bài học 1 GB/1 giờ.",Không giữ request chờ trả body prediction như synchronous; cần quản lý trạng thái/kết quả và scaling từ zero.,Kiểu hosting SageMaker,Domain 3,3.1,Inference,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
SageMaker Batch Transform,offline scoring • temporary job • no endpoint,"SageMaker Batch Transform runs managed offline inference jobs over datasets available in advance, without maintaining a persistent serving endpoint. A job references a trained model, input and output locations and computing resources, processes the records and saves predictions, commonly in S3. It suits periodic bulk scoring and other non-interactive workloads; recurring execution requires a separate schedule or orchestrator rather than the transform job scheduling itself.","SageMaker Batch Transform chạy job inference offline được quản lý trên dataset có sẵn trước mà không duy trì endpoint phục vụ liên tục. Job tham chiếu model đã training, vị trí input/output và tài nguyên tính toán, xử lý các bản ghi rồi lưu dự đoán, thường trong S3. Lựa chọn phù hợp với chấm điểm hàng loạt định kỳ và workload không tương tác; chạy lặp lại cần lịch hoặc orchestrator riêng, không phải transform job tự lập lịch.","Không duy trì endpoint; tài nguyên phục vụ vòng đời job, thích hợp chấm điểm dataset lớn và đầu ra tập trung trên S3. Dễ đưa vào pipeline định kỳ.",Model resource + S3 input + compute → CreateTransformJob → chờ hoàn thành → đọc S3 output.,Dự báo hàng loạt theo ngày/tuần và không cần response tương tác.,Chấm điểm khách hàng mỗi đêm để dùng hôm sau.,"Không phải service tự lên lịch; cần orchestration. Batch transform không phải training, dù có thể dùng logic inference để biến đổi dữ liệu.",Job inference SageMaker,Domain 3,3.1,Inference,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
SageMaker Multi-model Endpoints,model multiplexing • shared fleet • memory cache,"SageMaker Multi-model Endpoints host multiple compatible models through a shared serving container and fleet of instances. The service loads requested models as needed and can cache or unload them according to resource availability, while callers identify the target model for each request. This improves utilization for many lightly used models, but model-loading latency and shared-resource contention must be considered alongside the cost savings.","SageMaker Multi-model Endpoints host nhiều model tương thích thông qua serving container và fleet instance dùng chung. Dịch vụ tải model được yêu cầu khi cần, có thể cache hoặc gỡ model theo tài nguyên khả dụng, còn caller chỉ định model đích của từng request. Cơ chế cải thiện utilization khi có nhiều model ít dùng, nhưng phải cân nhắc latency tải model và tranh chấp tài nguyên dùng chung cùng với khoản tiết kiệm chi phí.","Giảm số endpoint cần vận hành và chi phí cho nhiều model ít được gọi; nạp model theo nhu cầu, cache model đang dùng. Không cần cấp fleet riêng cho từng model tương thích.",Lưu nhiều artifacts → cấu hình multi-model container → tạo endpoint → request chỉ định TargetModel.,"Nhiều model cá nhân hóa/tenant, tải mỗi model thấp, chấp nhận độ trễ khi load model.",Hàng trăm model dự báo theo cửa hàng dùng chung fleet.,Cache miss làm tăng latency; tài nguyên dùng chung có thể gây tranh chấp. Tính tương thích phụ thuộc container/backend; MME không tự gộp dự đoán ensemble.,Mẫu hosting SageMaker,Domain 3,3.1,Multi-model / container,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
SageMaker Multi-container Endpoints,separate containers • multiple frameworks • shared endpoint,"SageMaker Multi-container Endpoints place multiple inference containers in one endpoint so separate runtimes or processing components can share hosting infrastructure. In Serial mode, each container's output feeds the next container; in Direct mode, the caller targets a specific container. This supports workflows such as preprocessing, prediction and postprocessing, but container compatibility, shared resource needs and input/output contracts must be configured and tested.","SageMaker Multi-container Endpoints đặt nhiều container inference trong một endpoint để các runtime hoặc thành phần xử lý riêng dùng chung hạ tầng hosting. Ở mode Serial, output của container trước làm input container sau; ở mode Direct, caller gọi container cụ thể. Cơ chế hỗ trợ workflow tiền xử lý, dự đoán, hậu xử lý, nhưng tính tương thích container, nhu cầu tài nguyên chung và quy ước input/output phải được cấu hình, kiểm thử.","Tách runtime/logic theo từng bước hoặc dịch vụ, có thể giảm endpoint riêng và nối tiền/hậu xử lý gần model. Bài học nêu tới 15 container với mode tương thích.",Build/push từng image → khai báo containers và mode Serial/Direct → create endpoint → gọi luồng hoặc container đích.,Pipeline preprocessing–prediction–postprocessing hoặc nhiều container độc lập.,Chuẩn hóa đầu vào trong container A rồi suy luận bằng framework khác trong B.,Các container chia sẻ tài nguyên hosting; không mặc định độc lập scaling. Direct không tự chạy cả chuỗi; Serverless không hỗ trợ inference pipeline.,Mẫu hosting SageMaker,Domain 3,3.1,Multi-model / container,Skill Builder,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
