MLA-C01 • DOMAIN 3,QUY TRÌNH THEO BƯỚC,"Manage Deployment Infrastructure
Provision and Configure Resources
Automated Orchestration and CI/CD",,,,,,,,,,,,
61 mục • 15 cột,Luồng: C • Từng bước: E:H,Task 3.1 • 3.2 • 3.3,,,,,,,,,,,,
Keyword cần nhớ: cột B,Bẫy: J • Điều kiện: K,Mẫu ôn tập từ 3 module Domain 3,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: N • Có ghi phạm vi,Ghi chú đối chiếu AWS nằm trong nội dung.,,,,,,,,,,,,
Key / Quy trình,Keyword nhận diện,Chuỗi bước cần nhớ,Tình huống / Mục tiêu,Bước 1,Bước 2,Bước 3,Bước 4 / Tùy chọn,Vì sao theo thứ tự này,Phương án nhiễu / Vì sao loại,Điều kiện / Biến thể / Đầu ra,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
D3-P01 — Khung triển khai sáu thành phần,preprocess • image • build • register • deploy • monitor,Preprocess + chuẩn bị image → train/evaluate → register → deploy → monitor,Thiết kế quy trình tái hiện được từ dữ liệu/mã nguồn đến prediction phục vụ ứng dụng.,"Chuẩn bị dữ liệu và preprocessing có version; giữ rõ nguồn, tham số và output để training sử dụng.","Build image từ Dockerfile, kiểm thử rồi push ECR. Bước này có thể độc lập/song song với chuẩn bị dữ liệu khi dependency cho phép.",Chạy xây dựng model với dữ liệu và image đúng phiên bản; đánh giá theo tiêu chí đã thiết kế.,"4) Đăng ký model đạt điều kiện với artifact/image references. 5) Triển khai phiên bản được chọn vào endpoint/hạ tầng. 6) Theo dõi, cảnh báo và thực hiện quy trình xử lý khi có vấn đề.",Compute triển khai cần artifact/runtime trước; promotion cần kết quả đánh giá; monitoring chỉ có ý nghĩa sau khi quan sát hệ thống đang phục vụ.,Không coi sáu thành phần là một thứ tự cứng cho mọi thay đổi. Không đăng ký trước evaluation rồi tự coi model đã đạt; không chỉ lưu image mà bỏ model artifact.,Output: model version có truy vết và serving environment được kiểm thử; source/CI/CD/security/testing xuyên suốt.,3.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-P02 — Building pipeline có quality gate,Training • Processing evaluation • Condition • Register/Fail,Preprocess → train → evaluate → Condition → Register hoặc Fail,Chặn model không đạt chuẩn trước khi trở thành candidate để triển khai.,Processing chuẩn bị tập dữ liệu/feature phù hợp; tham chiếu đúng dữ liệu và image.,Training chạy model; thu artifact và metadata cần thiết.,Processing đánh giá trên dữ liệu kiểm định; xuất metrics thành output mà Condition đọc được.,"Condition so sánh tiêu chí: đạt thì đăng ký model package, không đạt thì đi nhánh xử lý/Fail. Approval/deployment thực hiện theo workflow riêng.",Metric phải được tạo sau training/evaluation mới dùng để quyết định promotion; registry là ranh giới bàn giao cho deployment.,Training Completed không chứng minh model tốt. Transform không phải Training step. Registry không tự mở endpoint.,Ngưỡng và test phải do nhóm định nghĩa; không cố định một metric cho mọi bài toán.,3.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-P03 — Tạo endpoint SageMaker từ artifact,S3 + ECR • CreateModel • EndpointConfig • Endpoint,S3 artifact + ECR image → CreateModel → CreateEndpointConfig → CreateEndpoint → test,"Đã có model được huấn luyện/kiểm định, cần cung cấp API inference.",Đặt artifact đúng định dạng ở S3 và image inference tương thích ở ECR; cấp execution role đủ quyền.,"CreateModel tham chiếu artifact, image, role và kết nối cần thiết.",CreateEndpointConfig chỉ định model cùng cấu hình kiểu inference; với real-time thông dụng chọn instance type và initial count.,"CreateEndpoint, chờ InService rồi gọi thử bằng API đúng loại inference. Sau đó hoàn thiện scale, alarm và quy trình update.",EndpointConfig tham chiếu model resource; endpoint tham chiếu cấu hình. Tài nguyên phải sẵn sàng và đạt health check mới phục vụ được.,CreateModel không huấn luyện lại; không gọi InvokeEndpoint trước khi endpoint sẵn sàng; không dùng CreateEndpoint cho Batch Transform.,Output: endpoint có thể gọi được. Tạo model resource khác đăng ký Model Registry; chúng có thể cùng có trong pipeline.,3.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-P04 — Chọn một trong bốn kiểu inference,latency • traffic • payload • processing time,Offline dataset? → Batch; queue/large/long? → Async; strict latency? → Real-time; idle/bursty? → Serverless,Xác định mode inference đáp ứng ràng buộc thay vì chỉ chọn theo chi phí hoặc một keyword.,Xác định có cần trả prediction ngay cho từng request hay có thể xử lý cả dataset offline. Nếu offline và dữ liệu sẵn: Batch Transform.,"Nếu xử lý từng request nhưng kết quả có thể trả sau, input lớn hoặc chạy lâu: xét Asynchronous Inference và S3/queue.","Nếu cần low, consistent latency hoặc sustained throughput: xét real-time với đủ warm capacity và scaling.","Nếu có nhiều idle/burst, model vừa giới hạn và chịu cold start: xét Serverless; nếu cần warm thì tính Provisioned Concurrency. Đối chiếu thêm CPU/GPU, network, quota và cost.",Ràng buộc bắt buộc về response và tài nguyên phải được thỏa trước khi tối ưu giá. Traffic biến động một mình không đủ quyết định Serverless.,Sơ đồ tương tác trong bài học có nhánh sustained/low-latency trỏ nhầm Serverless; ở đây dùng real-time theo diễn giải và AWS docs. Async không phải response tức thì.,Đây là cây quyết định định hướng; load test và giới hạn API cụ thể quyết định cuối cùng.,3.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ
https://docs.aws.amazon.com/sagemaker/latest/dg/deploy-model-options.html",15/09/2026
D3-P05 — Xử lý request async,S3 URI • queue • result later,Upload input S3 → InvokeEndpointAsync → queue/process → output S3 → application consumes,"Một request cần payload lớn hoặc vài phút xử lý, ứng dụng chấp nhận nhận kết quả sau.",Ghi input vào S3 và kiểm tra quyền đọc của endpoint; xác định đường dẫn output/quyền đọc của ứng dụng.,Gọi InvokeEndpointAsync với vị trí input và thông tin cần thiết; lưu mã/vị trí theo dõi request.,"Dịch vụ xếp hàng, cấp capacity theo cấu hình và chạy model để tạo output.",Đọc kết quả hoặc lỗi tại vị trí đầu ra sau khi hoàn tất; tích hợp thông báo/kiểm tra trạng thái phù hợp. Quan sát backlog và thời gian chờ.,Truyền URI giúp không phải đẩy file lớn trong synchronous body; queue tách thời điểm nhận và thực thi; kết quả chỉ đọc sau khi ghi xong.,Không đợi prediction trực tiếp trong response InvokeEndpointAsync. Không đặt zero capacity mà thiếu cách scale lên khi có backlog.,Bài học nêu 1 GB/1 giờ; output S3 cần retention/quyền phù hợp. Đảm bảo retry không tạo xử lý trùng ngoài ý muốn.,3.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-P06 — Batch scoring định kỳ,scheduled job • S3 input/output • no endpoint,Schedule → CreateTransformJob → wait for completion → read outputs,"Chấm điểm dataset đầy đủ mỗi đêm, không có người dùng chờ từng prediction.","Chuẩn bị S3 dataset và model resource tương thích; xác định output path, compute và định dạng.",Orchestrator/lịch kích hoạt CreateTransformJob với input/output/compute cho lần chạy.,Theo dõi job tới Completed hoặc xử lý Failure; không đọc output như thể đã đầy đủ trước khi job kết thúc.,Dịch vụ downstream dùng dự đoán; lưu metadata lần chạy và điều tra lỗi nếu có. Job hoàn tất kết thúc tài nguyên phục vụ của job.,Dữ liệu và model có trước job; downstream phụ thuộc kết quả hoàn chỉnh. Không cần duy trì fleet suốt ngày.,CreateEndpoint là bước không cần trong luồng này. Batch Transform không tự lập lịch hàng đêm và không mặc định dùng để train.,Output: dataset prediction trong S3. Chi phí phụ thuộc tài nguyên/thời gian job; lịch ở workflow riêng.,3.2,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
D3-P07 — Chọn orchestrator,SageMaker DAG • AWS state machine • existing Airflow/Kubernetes,Map dependencies/ecosystem → choose orchestrator → define steps → validate execution,Chọn điều phối phù hợp thay vì coi mọi tool được liệt kê trong module có vai trò giống nhau.,"Liệt kê job, dependency, điều kiện, lịch, nhánh và dịch vụ được gọi.",Nếu ML chủ yếu SageMaker: Pipelines. Nếu nhiều AWS services/control flow: Step Functions. Nếu DAG Airflow hiện có: MWAA.,Nếu nền tảng Kubernetes có sẵn: xét ACK/Kubeflow integration. Dùng MLflow cho tracking/packaging/registry theo nhu cầu lifecycle.,"Định nghĩa input/output và xử lý lỗi/chất lượng; chạy thử, xác nhận execution trace và artifacts trước dùng production.","Công cụ phải hợp nền tảng/vòng đời đã có; bước compute vẫn chạy tại dịch vụ thực thi, không phải chỉ nằm trong orchestrator.",ECR chỉ lưu image; CodeBuild chủ yếu build/test; MLflow không phải state machine tương đương Step Functions; ACK không chuyển job SageMaker vào pod.,"Có thể kết hợp nhiều công cụ theo vai trò, không cần chọn một công cụ làm mọi thứ.",3.3,Mở rộng từ bài học,https://skillbuilder.aws/learn/6S4CUVPT9A/aws-ml-engineer-associate--manage-deployment-infrastructure/ZB46SU1CHZ,15/09/2026
