1	C	review	Accuracy = 86%; precision = 50%. C phù hợp nếu nói chi phí mỗi lỗi; tổng chi phí còn phụ thuộc tỷ lệ chi phí churn/incentive.	metrics
2	B	checked	Collaborative filtering dùng tương tác của những người dùng tương tự.	collab
3	B	checked	Glue xử lý CSV từ Kinesis; Firehose chỉ đổi JSON sang Parquet nếu không thêm Lambda.	glue_stream,firehose
4	C	checked	Đích là giá trị liên tục; Linear Learner ở chế độ regression phù hợp nhất trong các lựa chọn.	linear
5	D	checked	KMS bảo vệ dữ liệu lưu trữ; Glue hỗ trợ phát hiện và che dữ liệu cá nhân.	pii,kms
6	C	checked	Notebook chạy trong tài khoản dịch vụ SageMaker, kết nối VPC khách hàng qua ENI.	notebook_account
7	B	checked	CloudWatch cung cấp CPU, bộ nhớ và độ trễ endpoint.	cloudwatch
8	B	checked	Glue quản lý metadata; Athena truy vấn dữ liệu S3 bằng SQL.	athena
9	A	checked	Pipe mode truyền dữ liệu S3 trực tiếp vào training job, không cần tải hết vào notebook.	pipe
10	B	historical	Chuyển dữ liệu RDS sang S3 cho training; lựa chọn dùng Data Pipeline là kiến trúc cũ.	datapipeline
11	C	checked	Tương tác người dùng là đầu vào cho collaborative filtering.	collab
12	B	checked	Nhãn churn hoặc không churn tạo bài toán phân loại nhị phân.	linear
13	A	checked	Hai đường cùng tăng và có các đỉnh/đáy tương ứng; dự báo vẫn lệch mức tuyệt đối.	forecast
14	C	checked	Hai lớp có ranh giới phi tuyến dạng vòng tròn; SVM với kernel phi tuyến phù hợp.	svm
15	A	checked	Bucket policy có thể giới hạn truy cập theo SourceVpce hoặc SourceVpc.	s3_vpc
16	D	checked	Learning rate quá lớn làm cập nhật vượt qua vùng cực tiểu và dao động.	learning_rate
17	A	checked	Transcribe chuyển âm thanh thành chữ, Translate dịch, Comprehend phân tích cảm xúc.	sentiment_pipeline
18	B	checked	Container GPU phải tương thích NVIDIA; không đóng gói NVIDIA driver vào image.	docker
19	A	checked	ROC so sánh tỷ lệ true positive và false positive ở nhiều ngưỡng.	metrics
20	D	checked	Word embeddings biểu diễn quan hệ ngữ nghĩa và ngữ cảnh.	blazingtext
21	AD	checked	CloudTrail ghi hoạt động API; CloudWatch theo dõi tài nguyên, log và lỗi endpoint.	cloudtrail,cloudwatch
22	D	historical	Kinesis Data Analytics SQL từng nhận Firehose làm đầu vào; dịch vụ SQL cũ đã ngừng hoạt động.	kda
23	C	checked	Softmax chuyển đầu ra các lớp thành phân phối xác suất có tổng bằng 1.	softmax
24	B	checked	Dấu của residual thể hiện mô hình dự đoán cao hoặc thấp hơn thực tế.	regression
25		review	Không thể khẳng định mô hình có recall cao nhất chỉ từ hình; còn phụ thuộc phân phối, huấn luyện và ngưỡng.	metrics,svm
26	D	checked	So sánh max_depth với objective metric giúp thu hẹp miền tìm kiếm hyperparameter.	hpo
27	BCF	checked	Chuẩn hóa chữ thường, lọc stopword và tokenization là các bước xử lý văn bản trong lựa chọn.	textprep
28	B	checked	Lexicon quy định phát âm acronym và có thể tái sử dụng cho tài liệu sau.	polly
29	BE	checked	Augmentation tăng đa dạng ảnh; L2 hạn chế overfitting.	augmentation,overfit
30		review	Đề yêu cầu chọn 3 nhưng cấu hình built-in training thường cần A, C, E và F; không có bộ ba duy nhất đầy đủ.	training_api
31	B	checked	Parquet lưu theo cột, giảm lượng dữ liệu Athena phải đọc.	athena_column
32	B	checked	One-hot encoding tạo cột nhị phân riêng cho từng ngày trong tuần.	encoding
33	CD	checked	Tăng mẫu lớp thiểu số và tăng chi phí false negative để xử lý mất cân bằng.	imbalance
34	B	checked	Coi age=0 là thiếu dữ liệu; thay bằng thống kê của tuổi hợp lệ, không tính các số 0.	imputation
35	A	checked	S3 mở rộng cho data lake; Athena hoặc Spectrum bổ sung truy vấn SQL.	athena
