MLA-C01 • DOMAIN 1,THUẬT NGỮ & KEYWORD,Collect/Store + Transform + Validate Data; Domain 1.,,,,,,,,,,,,,
210 mục • 16 cột,197 mục theo chủ đề Skill Builder,"1.1 Collect, ingest & store data",,,,,,,,,,,,,
Đọc cột B: keyword cần nhớ,13 mục bổ sung Domain 1,1.2 Transform & feature engineering,,,,,,,,,,,,,
Đối chiếu: 14/09/2026,Nguồn: cột O • Ví dụ tự xây dựng,1.3 Data integrity & preparation,,,,,,,,,,,,,
Key / Thuật ngữ,Keyword cần nhớ,Nghĩa tiếng Việt,Definition (EN),Định nghĩa (VI),Cơ chế / Giải thích chi tiết,Ví dụ / Công thức,Vai trò / Khi áp dụng,Điểm dễ nhầm / Điều kiện,Dịch vụ liên quan,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Representative,"• Target population
• Coverage
• Sampling distribution",Có tính đại diện,Data reflects the target population and operating conditions.,Dữ liệu phản ánh đối tượng và bối cảnh mô hình sẽ gặp thực tế.,"Dữ liệu cần phản ánh các đối tượng, điều kiện và phân bố mà mô hình sẽ gặp khi dùng thật. Kiểm tra tỷ lệ nhóm, vùng, thiết bị và thời gian; so sánh mẫu với dân số mục tiêu thay vì chỉ đếm tổng số dòng.

Validate Data yêu cầu kiểm tra đại diện theo từng nhóm và modality. Numeric đủ nhóm tuổi chưa bảo đảm text/image hoặc dataset sau join đủ độ bao phủ; xem Multimodal bias assessment và P40.",Tập dùng thật có 60% mobile nhưng train chỉ có 10% mobile: tăng dữ liệu phù hợp hoặc thiết kế sampling/weighting và kiểm tra từng nhóm.,"Giúp mô hình tổng quát sang người dùng thật, hạn chế selection bias. Bar chart và bảng tỷ lệ là cách kiểm tra ban đầu.","Dữ liệu lớn vẫn có thể không đại diện; lấy mẫu đều các nhóm cũng chưa chắc đúng với phân bố triển khai. Cần xác định “đại diện cho ai, ở thời điểm nào”.",Data Wrangler,Domain 1,1.1,Chất lượng dữ liệu,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA",14/09/2026
Relevant,"• Prediction objective
• Useful information
• Available at prediction time",Phù hợp bài toán,Information is useful for the prediction objective.,Thông tin có ích cho mục tiêu dự đoán.,"Feature có ý nghĩa đối với mục tiêu dự đoán và có thể cung cấp tại thời điểm dự đoán. Đánh giá dựa trên bối cảnh nghiệp vụ, quan hệ dữ liệu và kiểm chứng trên validation, không chỉ do trường đó có sẵn.",Dự đoán lỗi máy: nhiệt độ/rung có thể liên quan; ID bản ghi thường ít ý nghĩa. Trường “đã sửa máy” phát sinh sau lỗi có thể là leakage.,Giúp ưu tiên thu thập đúng dữ liệu và tránh thêm cột không phục vụ bài toán.,Tương quan không chứng minh nhân quả. Feature liên quan mạnh nhưng chỉ biết sau kết quả vẫn không hợp lệ cho inference.,Data Wrangler,Domain 1,1.1,Chất lượng dữ liệu,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Feature rich,"• Informative attributes
• Complementary sources
• Signal over noise",Giàu đặc trưng,Data provides varied informative attributes.,Dữ liệu có nhiều thuộc tính hữu ích để nhận ra quy luật.,"Dữ liệu có nhiều góc nhìn bổ sung và tín hiệu hữu ích để mô hình nhận ra quy luật. Có thể làm giàu bằng nguồn hành vi, giao dịch hoặc bối cảnh, với khóa ghép và thời gian đúng.","Ghép mức sử dụng, số lần liên hệ hỗ trợ và thời gian gắn bó để dự đoán rời bỏ; đo tác động từng nhóm feature trên validation.",Bổ sung thông tin mà một nguồn đơn lẻ không thể thể hiện; hỗ trợ feature engineering và nhận diện tương tác.,"Không đồng nghĩa càng nhiều cột càng tốt. Feature trùng, nhiễu, đắt khi phục vụ hoặc gây leakage có thể làm mô hình kém hơn.",Feature Store,Domain 1,1.1,Chất lượng dữ liệu,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Consistent,"• Same units
• Same formats
• Same meaning",Nhất quán,"Formats, units, and meanings agree across records.","Định dạng, đơn vị và ý nghĩa thuộc tính thống nhất.","Cùng một thuộc tính phải được biểu diễn với đơn vị, kiểu, quy ước và ý nghĩa tương thích giữa bản ghi/nguồn. Chuẩn hóa trước merge và áp dụng giống nhau trong train/inference.

Tính nhất quán cần xét giữa nguồn, thời gian và features: đơn vị, language/category, cách đo và định nghĩa nhãn. Ví dụ category học vấn từ ngôn ngữ khác cần mapping thống nhất có căn cứ, không chỉ đổi kiểu string.","Một nguồn dùng cm, nguồn khác dùng inch: đổi về cùng đơn vị; thống nhất timezone và mã danh mục trước tính feature.","Giảm sai lệch do biểu diễn, giúp join và transform có nghĩa, giữ tính nhất quán quy trình.",Consistent khác accurate: mọi giá trị đều lệch một đơn vị có thể rất nhất quán nhưng sai thực tế. Không tự đổi kiểu ID nếu làm mất số 0 đầu.,AWS Glue,Domain 1,1.1,Chất lượng dữ liệu,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA",14/09/2026
Data lineage / provenance,"• Source → transformations → output
• Reproducibility
• Auditability",Dòng dõi / nguồn gốc dữ liệu,Records describe where data came from and how it changed.,Ghi lại nguồn gốc và các bước biến đổi dữ liệu.,"Theo dõi dữ liệu đến từ đâu, qua bước xử lý nào và được dùng bởi job/dataset nào. Gắn source version, thời điểm, code/config và output để truy ngược lỗi hoặc tái tạo tập train.

Trong AI training integrity, provenance còn giúp đánh giá nguy cơ data poisoning: ghi nguồn của từng ví dụ, phiên bản policy/knowledge base và ai có quyền sửa. Nguồn không rõ cần review trước khi dùng cho fine-tuning.",Dataset v3 được tạo từ source snapshot v7 bằng script commit X và recipe Y; ghi liên kết đến manifest và job run.,"Hỗ trợ tái lập, điều tra thay đổi chất lượng và kiểm tra quyền sử dụng dữ liệu.",Chỉ ghi URL nguồn chưa đủ lineage; cần mô tả phiên bản và biến đổi. Lineage không thay kiểm tra tính đúng/sự đồng ý sử dụng dữ liệu.,AWS Glue; SageMaker AI,Domain 1,1.1,Catalog và metadata,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://skillbuilder.aws/learn/W9E1MCC15B/aws-ml-engineer-associate--validate-data-and-prepare-for-modeling/815QR5D1ZA",14/09/2026
Manifest file,"• List of samples
• S3 references
• Labels / metadata
• Versioning",Tệp danh mục dữ liệu,A file lists data items and associated metadata.,Tệp liệt kê mẫu dữ liệu và thông tin liên quan.,"Manifest liệt kê mẫu dữ liệu, vị trí tệp và thông tin liên quan như nhãn, modality hoặc ID. Với dữ liệu đa phương thức, nó thể hiện quan hệ giữa các thành phần của cùng một mẫu.","Một dòng JSONL: {""sample_id"":""s001"",""image"":""s3://demo/img1.jpg"",""caption"":""một chiếc xe"",""label"":""vehicle""}. Đây là ví dụ schema riêng, không mặc định là input hợp lệ cho mọi API.","Giúp chọn đúng tập mẫu, nối nhãn với tệp và chốt phiên bản dataset để tái lập.",Augmented manifest của SageMaker có yêu cầu field/AttributeNames riêng. Không dùng manifest ví dụ nếu thuật toán không hỗ trợ schema đó; kiểm tra URI và mẫu thiếu thành phần.,S3; Ground Truth,Domain 1,1.1,Catalog và metadata,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Metadata,"• Object-level
• Dataset-level
• Catalog-level",Siêu dữ liệu,Descriptive attributes explain data context and structure.,"Thông tin mô tả nguồn, cấu trúc và bối cảnh dữ liệu.","Thông tin mô tả dữ liệu thay vì chính nội dung: nguồn, format, kích thước, ngôn ngữ, thời gian và trạng thái xử lý. Object metadata/tags hoặc sidecar mô tả từng tệp; manifest mô tả dataset; catalog giúp discovery giữa nhóm.","Ảnh có width/height, source và sample_id; dataset có version và schema; Glue Catalog có location/partition để công cụ tìm thấy.","Hỗ trợ lọc, truy xuất, kiểm tra chất lượng, cross-modal alignment và audit.","Metadata có thể cũ hoặc sai. S3 tags, user metadata, manifest và Catalog có khả năng/giới hạn khác nhau; không giả định Inventory luôn chứa mọi tag tùy chỉnh.",Glue Data Catalog; S3,Domain 1,1.1,Catalog và metadata,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Schema,"• Field names
• Data types
• Structure
• Contract",Lược đồ dữ liệu,"A specification defines fields, types, and structure.","Đặc tả quy định trường, kiểu và cấu trúc dữ liệu.","Đặc tả tên trường, kiểu, cấu trúc lồng nhau và ràng buộc được áp dụng. Reader/ETL dựa vào schema để diễn giải bytes thành bản ghi; cần cơ chế kiểm soát khi nguồn thay đổi.","amount là số, event_time là timestamp, customer_id là chuỗi giữ số 0 đầu. Record sai kiểu được cách ly hoặc chuyển đổi theo quy tắc.",Cho phép query/merge/transform có ý nghĩa và phát hiện incompatibility sớm.,"Đúng schema chưa đủ quality: amount=-999 vẫn là số nhưng có thể sai nghiệp vụ. Schema inference cần kiểm tra, không mặc định luôn chính xác.",Glue Data Catalog,Domain 1,1.1,Catalog và metadata,Skill Builder,"https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT
https://docs.aws.amazon.com/glue/latest/dg/catalog-and-crawler.html",14/09/2026
Schema drift,"• Source changes
• Added / removed fields
• Type changes
• Compatibility",Thay đổi schema nguồn,Source fields or types change over time.,Các trường hoặc kiểu dữ liệu nguồn thay đổi theo thời gian.,"Schema nguồn biến đổi theo thời gian, như thêm cột, đổi kiểu hoặc cấu trúc. Crawler có thể nhận diện nhưng consumer phải có cách chấp nhận, chuyển đổi, version hóa hoặc từ chối thay đổi.","Nguồn đổi amount từ 42.5 thành chuỗi “42,5”; kiểm tra locale rồi parse rõ ràng thay vì để job âm thầm tạo null.",Giúp tránh pipeline hỏng hoặc tạo feature sai khi nguồn được cập nhật.,"Tự cập nhật Catalog không tự sửa ETL. Cần theo dõi lỗi parse, tỷ lệ null và schema trước/sau, có quy tắc cho thay đổi breaking/non-breaking.",AWS Glue,Domain 1,1.1,Catalog và metadata,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
Bit depth,"• Bits per sample
• Amplitude precision
• PCM",Độ sâu bit âm thanh,Bits per sample determine amplitude precision.,Số bit mỗi mẫu quyết định độ chính xác biên độ.,Số bit biểu diễn biên độ của một mẫu âm thanh số; nhiều bit thường cho khả năng biểu diễn mức biên độ chi tiết hơn trong dữ liệu PCM. Phải phân biệt với số mẫu mỗi giây và bitrate file nén.,"PCM 16-bit mono, 16.000 mẫu/s trong 60 s: dữ liệu thô ≈16.000×16×1×60/8 = 1.920.000 byte, chưa tính header.",Hữu ích khi chuẩn hóa audio và ước lượng dung lượng/băng thông trước ingestion.,Tăng bit depth từ dữ liệu đã mất thông tin không tái tạo tín hiệu gốc. Bitrate MP3 không thể hiểu đơn giản là bit depth×sample rate.,Amazon Transcribe,Domain 1,1.1,Đa phương thức,Skill Builder,https://skillbuilder.aws/learn/EZ5E7MDBFM/aws-ml-engineer-associate--collect-ingest-and-store-data/SYGN3UF5BT,14/09/2026
