MLA-C01 • DOMAIN 4,QUY TRÌNH THEO BƯỚC,Monitor Model Inference • Optimize Costs and Performance • Secure ML and AI Workloads,,,,,,,,,,,,
60 mục • 15 cột,Luồng: C • Từng bước: E:H,Task 4.1 + 4.2 + 4.3,,,,,,,,,,,,
Keyword cần nhớ: cột B,Bẫy: J • Điều kiện: K,3 module • Có phần mở rộng GenAI,,,,,,,,,,,,
Đối chiếu: 16/09/2026,Nguồn: N • Có ghi phạm vi,Đối chiếu MLA-C01 và AWS docs; có ghi giới hạn và trạng thái dịch vụ.,,,,,,,,,,,,
Key / Quy trình,Keyword nhận diện,Chuỗi bước cần nhớ,Tình huống / Mục tiêu,Bước 1,Bước 2,Bước 3,Bước 4 / Tùy chọn,Vì sao theo thứ tự này,Phương án nhiễu / Vì sao loại,Điều kiện / Biến thể / Đầu ra,Task,Phạm vi / Căn cứ,Nguồn tham khảo,Ngày đối chiếu
D4-P01 — Thiết lập vòng monitoring end-to-end,capture • baseline • scheduled comparison • publish • act,Capture → baseline → scheduled compare → CloudWatch → interpret/act,Theo dõi chất lượng inference đã triển khai và có hành động khi xuất hiện lệch đáng kể.,"Bật capture input/output và metadata vào storage như S3; kiểm tra record ID, model version, sampling và dữ liệu thực sự đến.",Tạo baseline/expected constraints từ dữ liệu development đã kiểm định. Baseline có thể chuẩn bị trước deployment; điều kiện bắt buộc là có trước bước comparison.,Lập lịch job trên cửa sổ production; validate và tính statistics/quality phù hợp; ghi violations kèm evidence.,"4) Publish comparison metrics vào CloudWatch. 5) Đặt alarm, notification và response playbook; diễn giải kết quả, thực hiện hành động rồi xác nhận phục hồi.",Không có capture thì thiếu quan sát; không có baseline thì thiếu chuẩn; không có response thì alert không giải quyết vấn đề.,Chỉ lưu S3 hoặc xem dashboard không cung cấp tự động phản ứng. Capture không tự tạo ground truth; baseline không nên thay theo mọi batch lỗi.,"Bốn loại monitoring dùng baseline riêng. Thứ tự là dependency logic, không yêu cầu đợi có traffic rồi mới chuẩn bị baseline.",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P02 — Phát hiện data quality drift,validate • statistics • baseline • distribution test,Validate → compute statistics → compare baseline → drift analysis → alert,"Dữ liệu production thay đổi format, missingness, range hoặc phân phối.","Kiểm schema/type/expected columns/range trước model, kiểm record count và missing values ở từng stage.","Tính mean, standard deviation, missing/outlier counts và distribution từng feature trên mẫu production đại diện.",So với baseline/constraints; dùng kiểm định như KS khi phù hợp loại dữ liệu để xác định feature lệch và mức độ.,"Xuất violation metrics/report, báo đúng owner; điều tra upstream failure hoặc population change rồi sửa data/chuẩn bị cập nhật model khi cần.",Validation tách dữ liệu sai cấu trúc khỏi biến động thống kê; comparison giúp khoanh vùng feature gây vấn đề.,Không cần ground truth để phát hiện input drift. Không retrain ngay trên dữ liệu schema sai; không xóa mọi outlier.,"Output gồm feature/constraint vi phạm, window, sample count và baseline version; drift chưa chứng minh accuracy giảm.",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P03 — Đo model quality với ground truth đến trễ,prediction ID • delayed labels • join • metric,Capture predictions → ingest labels → join mature cohort → score → alarm,Ticket routing/fraud/churn chỉ biết outcome sau thời điểm dự đoán.,"Lưu prediction gốc với inference ID, timestamp, model/variant version; xây quality baseline từ evaluation data có nhãn.","Nhận nhãn thật vào storage; kiểm tra ID uniqueness, label quality và độ phủ. Chọn cohort đủ thời gian nhận outcome.","Join prediction–label theo ID; loại/ghi unmatched theo chính sách; tính accuracy/precision/recall/F1 hoặc metric regression phù hợp, tổng và theo slice.","So quality baseline/threshold, publish custom metrics và label coverage; nếu suy giảm thì điều tra segment/data/model trước khi retrain hoặc rollback.",Chất lượng thực đo sự khớp prediction với outcome; ghép sai hoặc label chưa đủ có thể tạo regression giả.,Không dùng confidence làm nhãn thật; không coi nhãn thiếu là negative; không so prediction mới chạy lại bằng model khác với record cũ.,"Cadence phải tính label lag. Accuracy<85% trong walkthrough là ví dụ, không mặc định AWS; giám sát cả pipeline nhận nhãn.",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P04 — Theo dõi và xử lý bias drift,groups • fairness metric • baseline • mitigation,Define groups → calculate bias metrics → compare → investigate/mitigate → recheck,Chênh lệch kết quả/sai số giữa các nhóm có dấu hiệu tăng.,"Xác định nhóm/facet, fairness definition, baseline và sample requirements; kiểm coverage nhóm mới hoặc thiếu đại diện.","Tính metric như selection-rate ratio/disparate impact, TPR gap/equal opportunity khi có nhãn cần thiết; tách theo thời gian và version.",So baseline hoặc threshold được chấp thuận; xem uncertainty/cỡ mẫu và data mix trước kết luận.,"Điều tra dữ liệu, feature và quy trình; chọn mitigation phù hợp, đánh giá lại từng nhóm cùng chất lượng tổng trước triển khai.",Phải biết đo dạng fairness nào rồi mới có ý nghĩa khi so; mitigation cần kiểm chứng để không chuyển lỗi sang nhóm khác.,Nhóm mới xuất hiện chỉ cho thấy population shift/rủi ro; aggregate accuracy tốt không phủ nhận vấn đề một nhóm. Không dùng một cutoff cho mọi use case.,Monthly bias job là ví dụ cadence. Trường hợp ảnh hưởng quyền lợi/chính sách cần human/domain review.,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P05 — Theo dõi feature attribution drift,SHAP • same explainer • changed ranking,Baseline SHAP → production SHAP → aggregate/compare → identify features → investigate,Accuracy chưa giảm nhưng mức ảnh hưởng của feature có thể đang đổi.,"Tạo và lưu explanation baseline với model, preprocessing, background data và cấu hình explainer đã dùng.",Lấy mẫu production đại diện và tính feature attributions; dùng cách aggregate nhất quán với baseline.,So magnitude/ranking và thống kê attributions; xác định feature đổi đáng kể; xuất report/metric và alarm theo threshold.,"Kiểm tra input distribution, segment, version và quan hệ input–target; kết hợp labeled evaluation để quyết định hành động.",So cùng cách giải thích tránh nhầm thay đổi explainer với thay đổi hành vi model; feature-level signal giúp khoanh vùng.,SHAP không là causality; attribution drift không chứng minh weights đổi hoặc concept drift chắc chắn. Không chờ accuracy giảm mới điều tra.,"Bổ sung kỹ thuật: Clarify có so ranking bằng NDCG; chi tiết implementation phụ thuộc tính năng hiện hành, không cần cho quy trình cơ bản.",4.1,Mở rộng từ bài học,"https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9
https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-model-monitor-feature-attribution-drift.html",16/09/2026
D4-P06 — Cấu hình alarm chất lượng và giảm nhiễu,custom metric • threshold • 2 of 3 • SNS,Compute/publish → define threshold/window → configure missing data/actions → test → respond,Cần tự động báo khi accuracy thấp hoặc drift kéo dài.,"Tính metric đúng cohort và đơn vị; publish namespace/name/dimensions, timestamp rõ ràng; chọn statistic phù hợp.","Chọn threshold và chiều so; Period là độ dài mỗi kỳ; EvaluationPeriods=N, DatapointsToAlarm=M. Ví dụ 2/3 bắt hai kỳ vi phạm.","Cấu hình missing-data policy, SNS topic và EventBridge rule cho state change nếu cần automation; gắn runbook/owner.","Kiểm tra metric/alarm/notification path; theo dõi ALARM và recovery, đánh giá false positives rồi chỉnh cấu hình có căn cứ.",Metric phải đáng tin trước khi cảnh báo; nhiều kỳ giảm ảnh hưởng một batch nhiễu; missing telemetry cần cách xử lý riêng.,Không đánh đồng evaluation period count với period seconds. Không luôn cần vi phạm liên tiếp; không dùng 0.9 threshold cho metric đang biểu diễn bằng phần trăm 90.,Độ nhạy và độ trễ là trade-off. Đừng tự động nới threshold để làm mất alert mà chưa xử lý nguyên nhân.,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P07 — Anomaly alarm cho traffic có chu kỳ,seasonal traffic • expected band • dynamic threshold,Choose metric → learn band → configure directional alarm → inspect deviation → triage,"Invocation volume cao ban ngày, thấp ban đêm làm threshold tĩnh kém hiệu quả.","Chọn metric/statistic, dimensions và lịch sử phù hợp; kiểm tra telemetry không bị trộn model/region hoặc missing bất thường.",Dùng CloudWatch anomaly detection học expected range theo trend/seasonality; chọn sensitivity hợp lý.,"Tạo alarm khi metric trên/dưới/bên ngoài band, với M/N và missing-data treatment phù hợp mức rủi ro.","Khi báo, so logs/traffic source/deployment với band; xác định outage, upstream issue hoặc thay đổi business hợp lệ rồi phản ứng.",Baseline động so điểm hiện tại với kỳ vọng cùng hoàn cảnh thay vì một giá trị cho cả ngày.,Tăng fixed threshold tới cực đại dễ bỏ sót vấn đề; copy metric sang tên khác không giải quyết seasonality.,"Anomaly detector nhận ra bất thường thống kê, không xác nhận model quality hay tự đưa root cause.",4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P08 — Phân loại anomaly trước remediation,data pipeline • serving path • output distribution,Locate signal → correlate evidence → classify cause → owner/action → verify,Có spike/lệch cần tránh chọn hành động sai như retrain khi API đang hỏng.,Xác định tín hiệu: record counts/schema/missing; serving errors/latency; hay prediction distribution/quality.,"Đối chiếu release, raw sample/logs, tool spans, model version và pipeline stage; với quality kiểm label coverage.",Phân loại: upstream lỗi thì sửa data/integration; capacity/serving thì sửa runtime/scale; genuine quality drift thì review/retrain; policy/business thì human decision.,"Chuyển đúng owner, thực hiện playbook và xác nhận metric/quality phục hồi; ghi evidence để cải tiến monitoring.",Cùng biểu hiện giảm KPI có nhiều nguyên nhân; chữa đúng layer giảm chi phí và hạn chế thêm rủi ro.,Không scale instance để sửa accuracy; không fine-tune để sửa API credentials; output shift chưa chắc model sai.,Có thể cần chạy nhiều nhánh điều tra song song; bảo toàn prediction/label/version evidence trước khi thay đổi.,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P09 — Từ alarm tới retraining có quality gate,alarm event • validate data • retrain • evaluate,Alarm/EventBridge → triage → prepare/train → evaluate → approve/deploy → monitor,"Tự động phản ứng với degradation đã hiểu rõ, hạn chế retraining không cần thiết.","Nhận alarm state change qua EventBridge rule hoặc trigger manual/scheduled; kiểm tra signal, freshness và tránh execution trùng.","Xác nhận lỗi thuộc model/data pattern hợp lệ; chuẩn bị dữ liệu mới đã validate, labels đủ và versioned artifacts; train candidate.",Evaluate trên test/slices/business requirements; so model hiện hành; candidate không đạt thì dừng hoặc chuyển review.,"Register/approval theo policy, triển khai có kiểm soát và rollback path; tiếp tục monitor để xác nhận lợi ích thực tế.",Trigger chỉ mở workflow; kiểm dữ liệu và evaluation ngăn tự động thay model tốt bằng candidate kém.,"Không nối mọi drift alert trực tiếp tới deploy. Missing data/integration lỗi phải sửa trước, không dùng retrain như cách chữa chung.",Event-driven phù hợp suy giảm đột xuất; on-demand cho business change; scheduled cho pattern biết trước. Chi phí retrain có thể cần human triage.,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
D4-P10 — A/B testing và điều chỉnh production traffic,variants • 90/10 • per-variant outcomes • promotion,Define criteria → deploy variants/weights → collect per-variant evidence → compare → adjust,Candidate tốt offline nhưng cần chứng minh hiệu quả thực tế và giới hạn tác động.,"Chọn control/candidate và success metrics, safety/latency guardrails, cohort design, thời gian/sample đủ trước khi test.",Tạo production variants cùng endpoint với model/resources riêng; chia ví dụ 90/10 hoặc TargetVariant để routing có chủ đích.,"Capture request/variant IDs, track invocation/latency/errors theo variant; join ground truth và đo KPI cho từng nhóm.",So quality/business outcomes với operational guardrails; tăng weight candidate đạt hoặc trả traffic về control; tiếp tục theo dõi sau thay đổi.,Concurrent real traffic kiểm trường hợp offline thiếu; variant identity là điều kiện để không trộn kết quả; promotion phải có đủ bằng chứng.,"Thêm instance chỉ cải thiện capacity, không chứng minh model tốt; chỉ chạy lại historical test không phải A/B live; nhiều traffic hơn không tự chứng minh variant tốt hơn.",Weights là tỷ lệ tương đối. Có thể dùng UpdateEndpointWeightsAndCapacities; targeted routing ghi đè random weight cho request được chỉ định.,4.1,Mở rộng từ bài học,https://skillbuilder.aws/learn/AU24AGRSFQ/aws-ml-engineer-associate--monitor-model-inference/VHYSRYCCF9,16/09/2026
