MLA-C01 • DOMAIN 2,DỊCH VỤ & CÔNG CỤ,Choose • Train • Customize • Evaluate,,,,,,,,,,,,,
62 mục • 16 cột,Định nghĩa EN/VI + chi tiết,Task 2.1–2.3 • Mới: 2.3,,,,,,,,,,,,,
Keyword cần nhớ: cột B,Lợi ích / ví dụ / điều kiện,Analyze / Evaluate: +8 mục • mở rộng 5,,,,,,,,,,,,,
Đối chiếu: 15/09/2026,Nguồn: O • Có ghi phạm vi,Đã tổng hợp bốn module D2 theo nguồn đã mở.,,,,,,,,,,,,,
Key / Dịch vụ hoặc công cụ,Keyword cần nhớ,Definition (EN),Định nghĩa (VI),Benefits / Lợi ích chi tiết,Cơ chế / Quy trình,Use cases / Khi nào dùng,Ví dụ minh họa,Phân biệt / Điều kiện / Lưu ý,Loại,Domain,Task,Nhóm chủ đề,Phạm vi nguồn,Nguồn tham khảo,Ngày đối chiếu
Amazon Rekognition,"• Computer vision API
• Objects / scenes / moderation
• Pretrained capability","Amazon Rekognition is a managed computer-vision service that analyzes supported images and videos through APIs using pretrained capabilities. It can identify content such as objects, scenes and moderation-related labels, returning results and confidence information for application logic. It suits standard vision tasks when the service's supported outputs and measured quality meet requirements, avoiding the need to build and operate a custom vision model.","Amazon Rekognition là dịch vụ thị giác máy tính được quản lý, phân tích hình ảnh và video được hỗ trợ qua API bằng các khả năng đã được huấn luyện sẵn. Dịch vụ có thể nhận diện nội dung như vật thể, cảnh và nhãn liên quan kiểm duyệt, trả kết quả cùng thông tin độ tin cậy cho logic ứng dụng. Rekognition phù hợp với tác vụ thị giác tiêu chuẩn khi đầu ra và chất lượng đo được đáp ứng yêu cầu, giúp giảm nhu cầu tự xây, vận hành model thị giác.","Giảm công xây model cho tác vụ thị giác có sẵn như nhận diện nội dung, objects/scenes và hỗ trợ moderation; phù hợp khi chất lượng dịch vụ đã đáp ứng và không cần kiểm soát architecture.","Chọn API đúng task, gửi image/video theo đầu vào được hỗ trợ, đọc labels/confidence và kiểm tra trên dữ liệu thật; application quyết định sử dụng kết quả.","Ứng dụng ảnh cần tag nội dung hoặc gắn cờ nội dung cần review, không có labeled training data riêng.",Photo app cần object/scene detection và service đã đạt accuracy → dùng pretrained Rekognition trước khi tự train.,Không mặc định giải được mọi fine-grained domain task. Phân biệt pretrained APIs với Custom Labels cần dữ liệu của bạn; confidence không là bảo đảm đúng tuyệt đối.,AWS AI service,Domain 2,2.1,Vision,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon Rekognition Custom Labels,"• Custom image classes
• Your labeled data
• Managed training","Amazon Rekognition Custom Labels creates custom image-analysis models from user-provided labeled examples for supported classification and detection tasks. Users define relevant labels, prepare training and test datasets, train a model and evaluate its performance before using it. It reduces custom vision infrastructure and implementation work while requiring representative examples, reliable labels and validation that the supported task matches the application's needs.","Amazon Rekognition Custom Labels tạo model phân tích ảnh tùy chỉnh từ ví dụ có nhãn do người dùng cung cấp cho tác vụ phân loại và phát hiện được hỗ trợ. Người dùng xác định nhãn cần nhận diện, chuẩn bị tập train/test, huấn luyện rồi đánh giá model trước khi sử dụng. Công cụ giảm công xây hạ tầng, triển khai vision tùy chỉnh nhưng vẫn cần ví dụ đại diện, nhãn đáng tin và kiểm tra tác vụ được hỗ trợ có phù hợp ứng dụng hay không.",Giảm lượng code/ML infrastructure phải tự quản so với xây vision training stack; có thể nhận diện classes/objects riêng của doanh nghiệp khi task phù hợp.,"Chuẩn bị training/test data, xác định labels, train/evaluate và dùng model theo workflow dịch vụ; kiểm tra mức kiểm soát và giới hạn cần thiết.",Custom visual categories khi muốn managed customization thay vì tự chọn mọi chi tiết kiến trúc.,"Walkthrough có cân nhắc Custom Labels, nhưng chọn pretrained model fine-tune trong SageMaker vì cần kiểm soát training/evaluation sâu hơn.",Đây là ngoại lệ với câu “AI services không cần training data”. 50.000 ảnh không tự buộc dùng SageMaker; lựa chọn phải dựa yêu cầu và evidence. Không khẳng định Custom Labels không thể làm classification miền đặc thù.,Custom AI capability,Domain 2,2.1,Vision,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://skillbuilder.aws/cds/CONTENT_PR341MXB8A_001.000.000/assets/transcripts/B3UJH1XYGG.txt
https://docs.aws.amazon.com/rekognition/latest/customlabels-dg/what-is.html",14/09/2026
Amazon Transcribe,"• Speech → text
• ASR
• Speaker diarization / vocabulary","Amazon Transcribe is a managed automatic speech recognition service that converts speech audio into text through supported batch and streaming APIs. Applications submit audio and language settings and receive transcripts with available timing or confidence metadata; supported vocabulary customization can improve handling of domain terminology. The text can feed search, translation or NLP workflows, but transcription quality must be evaluated on representative audio.","Amazon Transcribe là dịch vụ nhận dạng giọng nói tự động được quản lý, chuyển lời nói trong audio thành văn bản qua API batch và streaming được hỗ trợ. Ứng dụng gửi audio, cấu hình ngôn ngữ và nhận transcript cùng metadata thời gian hoặc độ tin cậy khả dụng; khả năng tùy chỉnh từ vựng được hỗ trợ có thể cải thiện nhận dạng thuật ngữ chuyên ngành. Văn bản có thể đưa vào tìm kiếm, dịch thuật hoặc NLP, nhưng chất lượng cần được đánh giá trên audio đại diện.","Tạo transcript có thể tìm kiếm/phân tích, hỗ trợ streaming hoặc batch theo API và language; vocabulary customization có thể giúp thuật ngữ chuyên ngành.","Gửi audio phù hợp, chọn language/settings, lấy transcript và quality-check; dùng text cho Translate/Comprehend hoặc downstream khác.","Contact-center transcripts, phụ đề và bước đầu của pipeline dịch giọng nói.",Audio nguồn → Transcribe text → Translate text đích → Polly speech đích.,"Speech recognition khác speaker identity: diarization tách lượt nói theo nhãn speaker, không tự xác định danh tính người thật. Kiểm tra language/audio format và chất lượng bản ghi.",AWS AI service,Domain 2,2.1,Speech,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/transcribe/latest/dg/diarization.html",14/09/2026
Amazon Polly,"• Text → speech
• Voices / languages
• Spoken response","Amazon Polly is a managed text-to-speech service that converts written text into synthesized audio using supported voices, languages and speech engines. Applications select the required voice and synthesis options, submit text and use the generated audio for spoken responses or narration. It removes the need to train and host a speech-synthesis model, while pronunciation and output suitability still require testing for the intended content.","Amazon Polly là dịch vụ chuyển văn bản thành giọng nói được quản lý, tạo audio tổng hợp từ văn bản bằng các giọng, ngôn ngữ và speech engine được hỗ trợ. Ứng dụng chọn giọng, tùy chọn tổng hợp, gửi text rồi sử dụng audio để phản hồi bằng lời nói hoặc thuyết minh. Dịch vụ giảm nhu cầu tự train, host model tổng hợp giọng nói, nhưng cách phát âm và mức phù hợp của đầu ra vẫn cần kiểm thử theo nội dung sử dụng.",Tạo phản hồi nói cho ứng dụng mà không tự train speech model; chọn giọng/ngôn ngữ/engine phù hợp và tích hợp theo API.,"Chuẩn bị text đầu vào, chọn voice/options được hỗ trợ rồi nhận audio; kiểm tra cách đọc tên riêng, số và thuật ngữ.","Voice assistant, đọc nội dung hoặc bước cuối pipeline chuyển ngữ bằng giọng nói.","Sau Translate, dùng Polly đọc bản dịch ở ngôn ngữ đích.",Polly không dịch văn bản và không transcribe audio. Ngôn ngữ/voice/engine hỗ trợ khác nhau; chất lượng cần kiểm tra với nội dung thật.,AWS AI service,Domain 2,2.1,Speech,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon Textract,"• Document extraction
• Forms + tables
• Beyond plain OCR","Amazon Textract is a managed document-analysis service that extracts printed or handwritten text and supported structures such as forms and tables from documents. Its responses include detected blocks, relationships and confidence information that applications map into usable fields or records. It turns scanned material into machine-processable data, but extracted values and complex layouts still require validation before use in ML datasets.","Amazon Textract là dịch vụ phân tích tài liệu được quản lý, trích xuất chữ in, chữ viết tay và các cấu trúc được hỗ trợ như biểu mẫu, bảng. Phản hồi gồm các block được phát hiện, quan hệ giữa chúng và thông tin độ tin cậy để ứng dụng ánh xạ thành trường hoặc bản ghi sử dụng được. Dịch vụ biến tài liệu scan thành dữ liệu máy có thể xử lý, nhưng giá trị trích xuất và bố cục phức tạp vẫn cần kiểm tra trước khi đưa vào dataset ML.",Giảm nhập liệu thủ công và giữ cấu trúc hữu ích để đưa vào workflow. Phù hợp scanned documents khi cần hơn một chuỗi text thuần.,"Chọn document-analysis API theo loại tài liệu; gửi file, lấy blocks/relationships/confidence và mapping sang schema nghiệp vụ; review trường không chắc.","Scanned invoices, forms và dữ liệu bảng cần chuyển thành trường có cấu trúc.",Hàng nghìn invoice cần field values và table data cho accounts-payable → Textract.,"Comprehend phân tích text đã có, Transcribe xử lý speech, Translate đổi ngôn ngữ. OCR/extraction thành công chưa chứng minh giá trị đúng; cần validation nghiệp vụ.",AWS AI service,Domain 2,2.1,Documents,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon Translate,"• Text translation
• Source → target language
• Real-time / batch","Amazon Translate is a managed machine-translation service that translates supported text and document content between languages. Applications specify source and target languages and use the appropriate real-time or batch workflow to produce translated output without operating their own translation model. Domain terminology, named entities and preservation of meaning should be checked on representative examples because managed translation does not guarantee perfect output for every context.","Amazon Translate là dịch vụ dịch máy được quản lý, chuyển nội dung văn bản và tài liệu được hỗ trợ giữa các ngôn ngữ. Ứng dụng chỉ định ngôn ngữ nguồn, đích và sử dụng workflow thời gian thực hoặc batch phù hợp để tạo bản dịch mà không vận hành model dịch riêng. Cần kiểm tra thuật ngữ chuyên ngành, thực thể có tên và việc giữ đúng ý nghĩa trên ví dụ đại diện vì dịch vụ được quản lý không bảo đảm đầu ra hoàn hảo trong mọi ngữ cảnh.",Tích hợp chuyển ngữ qua API thay vì tự train translation model; có lựa chọn xử lý realtime/batch theo nhu cầu và hỗ trợ.,"Xác định ngôn ngữ nguồn/đích, gửi text hoặc job phù hợp, kiểm tra terminology và meaning trên mẫu thật.","Ứng dụng đa ngôn ngữ, dịch transcript trước khi tạo speech, xử lý feedback nhiều ngôn ngữ.","Transcribe tạo text nguồn, Translate đổi thành text đích, Polly đọc text đó.",Không chuyển audio trực tiếp thành audio bằng riêng Translate. Kiểm tra hỗ trợ cặp ngôn ngữ và thuật ngữ miền; translation có thể làm sai nuance.,AWS AI service,Domain 2,2.1,Language,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon Comprehend,"• NLP insights
• Entities / sentiment / language
• API-based analysis","Amazon Comprehend is a managed natural language processing service that extracts supported information from text, including entities, sentiment, key phrases and dominant language. Pretrained APIs return structured results and scores for applications to interpret, while supported custom capabilities use task-specific data and configuration. It suits common NLP requirements when its output schema, language coverage and measured performance meet the application's needs.","Amazon Comprehend là dịch vụ xử lý ngôn ngữ tự nhiên được quản lý, trích xuất thông tin được hỗ trợ từ văn bản, gồm thực thể, sắc thái cảm xúc, cụm từ khóa và ngôn ngữ chính. API pretrained trả kết quả có cấu trúc, điểm số để ứng dụng diễn giải, còn khả năng custom được hỗ trợ sử dụng dữ liệu và cấu hình theo tác vụ. Dịch vụ phù hợp với nhu cầu NLP phổ biến khi schema đầu ra, ngôn ngữ và hiệu năng đo được đáp ứng ứng dụng.",Giải quyết tác vụ NLP phổ biến nhanh bằng pretrained APIs; hữu ích cho team thiếu ML specialists nếu output/quality đáp ứng nhu cầu.,"Chuẩn bị text, chọn API, xử lý scores/entities và đánh giá trên workload thật. Có custom capabilities với yêu cầu dữ liệu riêng, không suy mọi tính năng đều zero-training.","Sentiment customer reviews, text analysis sau Textract/Transcribe và routing theo language.","Startup cần sentiment trong một tháng, service đã đạt quality → ưu tiên Comprehend theo tình huống.","Không thay Textract đọc cấu trúc scan, Polly tạo speech hay Translate dịch. Language support phụ thuộc API; API đáp ứng task không có nghĩa thay được domain evaluation.",AWS AI service,Domain 2,2.1,Language,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon Lex,"• Voice / text conversation
• ASR + NLU
• Intents / slots / fulfillment","Amazon Lex is a managed service for building conversational interfaces that combine speech recognition and natural language understanding with defined dialog behavior. Developers specify intents, slots, prompts and backend fulfillment so the bot can collect required information and complete supported interactions. It is well suited to structured conversational transactions, while ambiguous requests, missing information and fallback behavior must be designed and tested.","Amazon Lex là dịch vụ được quản lý để xây giao diện hội thoại, kết hợp nhận dạng giọng nói và hiểu ngôn ngữ tự nhiên với hành vi đối thoại được định nghĩa. Người phát triển khai báo intent, slot, prompt và backend fulfillment để bot thu thập thông tin cần thiết, hoàn thành tương tác được hỗ trợ. Lex phù hợp với giao dịch hội thoại có cấu trúc, còn request mơ hồ, thiếu thông tin và hành vi fallback cần được thiết kế, kiểm thử.",Phù hợp giao dịch hội thoại có intent/slot và backend fulfillment rõ; giảm công tự xây speech/language understanding cho bot.,"Định nghĩa intents, thông tin cần thu, prompts và fulfillment integration; kiểm tra flow và cách xử lý request không hiểu.","Order status, booking hoặc customer self-service có luồng hội thoại được thiết kế rõ.","Bot nhận intent kiểm tra đơn hàng, lấy order ID rồi gọi backend để trả trạng thái.",Lex không đồng nghĩa LLM/RAG hay agentic planner tổng quát. Booking flow xác định có thể dùng Lex; yêu cầu reasoning/tool orchestration linh hoạt nhiều bước mới cần đánh giá kiến trúc agentic.,AWS AI service,Domain 2,2.1,Chatbots,Skill Builder,https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2,14/09/2026
Amazon Personalize,"• Your interaction data
• Individual recommendations
• User segments","Amazon Personalize is a managed recommendation service that learns from supplied interaction data and relevant user or item information to produce personalized recommendations or supported segments. Teams import appropriate data, configure the supported use-case workflow, train the required resources and serve results to applications. It reduces recommendation-algorithm and infrastructure work, but recommendation quality still depends on data coverage, freshness and evaluation against business outcomes.","Amazon Personalize là dịch vụ gợi ý được quản lý, học từ dữ liệu tương tác được cung cấp cùng thông tin người dùng hoặc item liên quan để tạo gợi ý cá nhân hóa hay segment được hỗ trợ. Nhóm nhập dữ liệu phù hợp, cấu hình workflow theo use case, huấn luyện tài nguyên cần thiết rồi phục vụ kết quả cho ứng dụng. Dịch vụ giảm công về thuật toán và hạ tầng recommendation, nhưng chất lượng vẫn phụ thuộc độ bao phủ, độ mới dữ liệu và đánh giá theo kết quả nghiệp vụ.",Giảm công tự chọn/xây recommendation algorithms; tạo recommendations/segments theo use case được hỗ trợ. Managed không loại nhu cầu dữ liệu chất lượng và evaluation.,"Thu thập/import dữ liệu phù hợp, chọn domain/custom workflow và cấu hình/train tài nguyên theo dịch vụ; phục vụ recommendations rồi theo dõi kết quả.",E-commerce gợi ý sản phẩm theo người dùng hoặc tạo nhóm theo affinity với items.,Hai khách hàng có hành vi khác nhau nhận danh sách sản phẩm được cá nhân hóa.,"Không phải pretrained API dùng được cho personalization mà không có data của bạn. Cold-start, coverage, freshness và quality của interactions ảnh hưởng kết quả; kiểm tra yêu cầu dataset hiện hành.",AWS AI service,Domain 2,2.1,Personalization,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/personalize/latest/dg/what-is-personalize.html",14/09/2026
Amazon Bedrock,"• Managed FM access
• Multiple providers
• Prompt / RAG / customization","Amazon Bedrock is a managed generative AI service that provides API access to supported foundation models from multiple providers and capabilities for adapting and evaluating applications. Teams select a model, configure prompts and inference settings, and add retrieval or supported customization when needed. It reduces model-serving infrastructure work while requiring model-specific checks for capabilities, Region, data requirements, latency, cost and evaluation quality.","Amazon Bedrock là dịch vụ AI tạo sinh được quản lý, cung cấp truy cập API tới foundation model được hỗ trợ từ nhiều nhà cung cấp cùng khả năng điều chỉnh, đánh giá ứng dụng. Nhóm chọn model, cấu hình prompt và inference, bổ sung retrieval hoặc customization được hỗ trợ khi cần. Bedrock giảm công vận hành hạ tầng phục vụ model nhưng vẫn cần kiểm tra theo model về tính năng, Region, yêu cầu dữ liệu, latency, chi phí và chất lượng đánh giá.","Rút ngắn time to value, hỗ trợ chọn model nhiều providers và adaptation phù hợp mà không tự vận hành toàn bộ model infrastructure.","Chọn model/Region/API và inference mode phù hợp; thử trên eval set, cấu hình prompt/context và bổ sung retrieval/customization khi cần.","Summarization, generation, QA hoặc reasoning trên input được model hỗ trợ.",Shortlist theo modality → đánh giá bằng dữ liệu thật → cân nhắc latency/cost trước chọn model.,"Không phải mọi model dùng cùng payload/tính năng dù ở cùng nền tảng. Catalog, context, price, fine-tuning support và serving mode khác theo model/version/Region.",Managed GenAI service,Domain 2,2.1,Foundation model platform,Skill Builder,"https://skillbuilder.aws/learn/SUCM8B51JS/aws-ml-engineer-associate--choose-modeling-approaches/3Q54Z7VAZ2
https://docs.aws.amazon.com/bedrock/latest/userguide/what-is-bedrock.html",14/09/2026
